stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,2,27,0,0,1,0,0,1,6,0,6,19,9,0,0,3,0,0
 24-34,0,0,0,3.28,0.82,0,4.1,0,0,0,0.82,0,2.46,0.82,0,0,0,0,0,37.76,0,0,13.95,124.77,2.46,8.21,1.64,0,0,0.82,0,0,0,0,18.88,0,0,45.15,0,0
 36-46,0,0,0,0,0,0,5.64,0,0,0,2.42,0,1.61,0,0,0.81,0,0,0,41.89,0.81,1.61,14.5,253.79,0.81,10.47,1.61,0,0.81,0,0,0,0,0,49.15,0,1.61,36.26,0,0
 48-58,0.57,0,0,1.15,0,0,58.53,0,0,1.15,16.07,0,0.57,1.15,0,0,0,0,0.57,60.25,0,1.72,14.35,399.37,0,5.74,1.15,0,0,0.57,0,0.57,0.57,0,51.64,0,1.72,24.1,0,1.15
 60-70,0,0,0,2.94,0,0,187.47,0,0,0.98,65.76,0.98,0,3.93,0,0.98,0.98,0,0,120.73,0,2.94,10.8,785.22,0,6.87,2.94,0,3.93,0.98,0,0,0,0,81.47,0,6.87,20.61,0,2.94
 72-82,0,0,0.98,8.83,0.98,0,270.94,0,0,6.87,127.62,3.93,3.93,3.93,0,5.89,2.94,0,0.98,183.57,0,14.72,8.83,909.02,0,14.72,1.96,0,3.93,2.94,0,0,0,0,64.79,0.98,5.89,48.1,4.91,1.96
 84-94,0,0,2.12,6.37,1.06,0,235.77,5.31,0,1.06,73.28,0,3.19,10.62,0,5.31,2.12,1.06,1.06,100.89,1.06,6.37,6.37,500.22,2.12,9.56,12.74,0,2.12,1.06,0,0,0,0,40.36,1.06,6.37,32.92,9.56,1.06
 96-106,0,2.19,0,15.3,2.19,1.09,182.51,4.37,0,3.28,99.45,1.09,3.28,15.3,1.09,5.46,5.46,2.19,1.09,128.96,2.19,6.56,5.46,495.06,0,16.39,10.93,0,6.56,5.46,0,1.09,0,0,34.97,0,10.93,34.97,4.37,3.28
108-118,0,0,0,10.72,0.77,0,160.85,1.53,0.77,0,89.62,0.77,0.77,11.49,0,12.26,3.06,0.77,0,117.19,0,4.6,6.89,604.34,0,6.13,8.43,0,9.96,3.06,0,0,0,0,16.09,1.53,6.89,19.92,6.89,4.6
120,0,0,0,23.52,3.92,1.96,150.9,1.96,0,1.96,80.35,5.88,3.92,11.76,0,9.8,1.96,1.96,1.96,105.83,0,5.88,5.88,664.37,0,13.72,13.72,1.96,3.92,1.96,0,0,0,0,17.64,0,0,19.6,5.88,5.88
