stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,11,46,9,0,1,0,1,0,0,1,0,0,0,0,0,0,12,0,0,14,17,0,2,1,0,0,1,1,1,49,35,0,0,1,0,0
 24-34,6.57,10.67,0,0,1.64,0,5.75,9.03,0,0,0,0.82,0.82,0,0,0,14.78,0,0,25.45,174.02,0,22.98,0,0,0,0,2.46,0,0,94.4,0,0,3.28,0,0
 36-46,6.45,0,0,0,10.47,0,2.42,8.06,6.45,0,0,2.42,4.83,0,0.81,0.81,37.06,0.81,0,18.53,403.64,0,13.7,0,0,0.81,0,1.61,0,0,151.47,0,0,0.81,0,0
 48-58,5.16,0.57,0,0,38.44,0.57,3.44,6.31,5.74,0,0,1.72,6.31,0,0,1.72,43.04,0,0,14.92,435.52,0,6.89,0.57,0,2.87,0,2.87,0,0,109.02,0,0.57,1.15,0,0
 60-70,2.94,2.94,0.98,0,213.97,0.98,2.94,0.98,10.8,0,0.98,4.91,12.76,0,0,0,38.28,0,0,8.83,620.32,0.98,9.82,0,0,0,0,4.91,0.98,0,107.97,0,0.98,0.98,0,0
 72-82,11.78,0.98,0,0,444.69,0,2.94,6.87,18.65,1.96,0,2.94,5.89,1.96,0,0,79.51,0,1.96,8.83,637.1,0,4.91,3.93,2.94,0,0,1.96,0,0,73.62,0,0.98,3.93,0.98,0
 84-94,10.62,3.19,1.06,0,367.46,1.06,0,8.5,18.05,0,0,19.12,5.31,1.06,0,0,54.16,1.06,1.06,5.31,324.98,0,2.12,6.37,0,3.19,0,6.37,0,0,29.74,1.06,0,4.25,1.06,0
 96-106,7.65,6.56,3.28,0,306,0,3.28,4.37,28.41,2.19,2.19,32.79,14.21,1.09,1.09,1.09,75.41,0,6.56,10.93,287.42,0,2.19,9.84,2.19,4.37,0,5.46,1.09,0,15.3,0,1.09,5.46,0,0
108-118,6.13,3.06,0,1.53,215.24,0.77,0,1.53,25.28,3.06,0,10.72,12.26,2.3,0,0,53.62,0,0,4.6,341.62,0,3.83,4.6,2.3,1.53,0,6.89,0,0,15.32,0.77,0.77,2.3,0.77,0.77
120,5.88,5.88,0,0,139.14,0,0,1.96,15.68,1.96,0,25.48,0,0,1.96,0,41.16,0,0,0,317.49,1.96,7.84,5.88,0,1.96,0,7.84,1.96,0,15.68,0,0,0,0,0
