stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,6.29,0,0,0,0
 14-21,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,57,0,1,0,0
 24-34,0,0.82,0.82,0.82,0,0,0.82,0,0,0,0.82,0,0.82,0,0,5.75,0,169.1,0.82,1.64,0,0
 36-46,0,1.61,0,1.61,0.81,0,0,0,0.81,0,0,0,0,0.81,0.81,9.67,0,104.74,0,1.61,0,0
 48-58,0,0,0,0.57,0,1.15,0,0.57,0,0,0,0,0,0,0,2.87,0,37.87,0,1.15,0.57,0
 60-70,0,0.98,0,1.96,0,0,0,0,0,0,0,0,0,0,0,1.96,0,17.67,0,0,0,0
 72-82,0,0,0,0,0,1.96,0,0,0,0.98,0,0,0,0,0,0,0,12.76,0,0,0,0
 84-94,0,3.19,0,0,0,3.19,0,0,0,0,0,0,0,0,0,0,0,38.23,0,0,0,0
 96-106,0,2.19,0,0,1.09,0,1.09,0,0,0,0,0,1.09,0,0,1.09,0,5.46,0,0,0,0
108-118,0,0.77,0,0,0,0.77,1.53,0,0,0,0,0,0,0,0,0.77,0,6.13,0,0,0,0
120,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,1.96,7.84,0,0,0,1.96
