stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,mesenchyme,muscle,neural,notochord,periderm,pronephros,somites,spinal_cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0
 14-21,0,0,38,1,0,0,0,0,0,0,1,1,0,2,0,0,1,0,3,0
 24-34,0,0.82,59.92,0,0.82,7.39,0,0.82,2.46,0,0,18.88,4.93,8.21,0,12.31,0,0.82,0.82,3.28
 36-46,0,0,4.03,0,0.81,1.61,0,0,1.61,0.81,0,4.03,0.81,2.42,0,2.42,0,0,0,0
 48-58,0,0,0.57,0,0,2.87,0.57,0,0.57,0,0,1.15,0,0,0,0.57,0,0,0.57,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,0,0,2.94,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,2.12,2.12,0,0,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,2.19,0,0,1.09,0,0,4.37,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,3.92,0,0,0,0,1.96,0,0,0,0,0,0
