stage,endoderm,epidermis,eye,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,olfactory,periderm,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,12,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0.82,40.22,0,0,40.22,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,0.81,78.15,0,0,68.48,0,0,0
 48-58,0,0,6.89,2.3,0,0,0,0,0,0,2.3,0,106.15,0.57,0,39.59,0,0,3.44
 60-70,0,0,16.69,11.78,0,0,0,0,0,0,0.98,0,165.88,0,0,32.39,0,0,1.96
 72-82,0,0,26.5,30.43,0,0,0,0,0,0,2.94,0,179.64,0,0,34.36,0.98,0.98,4.91
 84-94,0,1.06,11.68,26.55,0,3.19,1.06,0,0,0,1.06,0,101.96,0,0,21.24,0,0,1.06
 96-106,0,0,15.3,34.97,0,0,0,0,0,1.09,4.37,0,104.91,0,0,17.49,0,0,2.19
108-118,0.77,1.53,12.26,36,0,0,0.77,0.77,0.77,0,1.53,0.77,111.06,0.77,0.77,9.19,0,0,1.53
120,0,1.96,13.72,27.44,1.96,0,0,0,0,0,0,0,125.43,0,0,25.48,0,0,0
