stage,blastomeres,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,6.29,3.15,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,2.46,0,0,0,65.67,0,0.82,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,3.22,0,0,0,76.54,0,0,0,0,0.81
 48-58,0,0,0,1.72,1.72,0,0,0,0,0,1.15,0.57,0,0,1.72,0.57,0,0,71.15,0,0.57,0,0,0
 60-70,0,2.94,0,0.98,3.93,0.98,0,0,0,0,0.98,0.98,0.98,0,1.96,0,0,0,146.25,0,0,0,0,0
 72-82,0,9.82,0,2.94,1.96,0,0,0,0,0,4.91,0.98,2.94,0,3.93,0,0.98,0,190.44,0,0.98,0,0,0
 84-94,0,11.68,0,1.06,5.31,0,2.12,1.06,0,1.06,4.25,1.06,5.31,0,0,1.06,0,0,433.31,0,0,1.06,0,0
 96-106,0,20.76,0,2.19,10.93,1.09,4.37,0,0,0,6.56,2.19,5.46,1.09,10.93,0,0,0,577.02,0,0,0,0,0
108-118,0,22.98,0,0,12.26,0,1.53,0,0,0,6.89,1.53,6.13,0.77,5.36,0.77,0,0,353.87,0,0,0,0.77,0.77
120,0,31.36,1.96,0,13.72,1.96,5.88,0,1.96,1.96,1.96,0,3.92,0,3.92,0,0,0,386.08,0,0,1.96,0,0
