stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,18.39,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,31.54,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,2,0,0,0,0,0
 24-34,0,0,0,0.82,0,3.28,0,0,2.46,0,0,0,0,0,0,0,3.28,0,4.1,27.91,0,0.82,0.82,0,0,0,0,0,8.21,0,0,3.28,0,0
 36-46,0,0,0,0,0,6.45,0,0,0.81,0,0,0,0,0,0,0,7.25,0,1.61,45.12,0,0.81,0,0,0,0,0,0,12.89,0,0,0,0,0
 48-58,0,0,0,0.57,0,20.66,0,0,2.3,0,0,1.15,0.57,0,0,0,10.33,0,0.57,53.36,0.57,0.57,0,0,0,1.15,0,0,16.07,0,0,0.57,0,1.15
 60-70,0,0,0,0.98,0,43.19,0,1.96,5.89,0,0,0,0,0,0,0,14.72,0,1.96,88.34,0,1.96,0.98,0,0.98,0,0.98,0,20.61,0,0,0,0,0
 72-82,0,0,0,1.96,0,46.14,0.98,0.98,13.74,0.98,0,0.98,0,0.98,0,0,27.49,0,1.96,85.4,0,2.94,0.98,0,0,0,0,0,8.83,1.96,0.98,1.96,0.98,1.96
 84-94,0,0,0,5.31,0,26.55,0,1.06,4.25,1.06,0,0,0,2.12,1.06,0,15.93,0,2.12,39.3,0,2.12,1.06,0,1.06,1.06,0,0,5.31,0,2.12,0,0,0
 96-106,0,0,0,0,0,28.41,0,0,7.65,0,0,0,0,1.09,0,1.09,17.49,0,0,32.79,0,0,0,0,0,2.19,0,0,4.37,0,0,1.09,1.09,0
108-118,0,0,0,2.3,0,19.92,0,0,10.72,0,0,0,0,0.77,0.77,0.77,13.79,1.53,0.77,29.87,2.3,2.3,0,0,0,1.53,0,0,0,0.77,0.77,1.53,0.77,1.53
120,0,0,0,0,0,19.6,0,1.96,5.88,1.96,0,1.96,0,0,0,0,7.84,0,1.96,45.08,1.96,0,0,0,0,1.96,0,0,5.88,0,0,0,0,0
