stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,6,0,0,0,0
 24-34,0,0,0,1.64,0,0,0,0.82,0,1.64,0,0,0,0,0,0,1.64,0,0,44.33,0,0,0,0,0,55.82,0,0,0.82,0
 36-46,0.81,0,0,4.83,0,0,0,4.03,0,0,0,0,0,0,0,0,1.61,0,0.81,107.96,0,0,0,0.81,0,77.34,0,0,0,0
 48-58,0.57,0.57,0.57,13.2,0,0,0,11.48,0,0,0.57,0,0,0,0,0,2.87,0,0.57,195.67,0,0,0,0.57,0,64.84,0,0,0,0
 60-70,0,0,0,88.34,0,0,0,32.39,0,0,0,0,0,0,0,0,7.85,0,0,402.42,0,0,0,0,0,66.74,0,0,0,1.96
 72-82,0.98,1.96,0.98,206.15,1.96,0,0.98,58.9,0,0,0,0,0.98,1.96,0,0,11.78,0,3.93,666.55,0.98,0,0,4.91,0.98,85.4,0,0,2.94,3.93
 84-94,1.06,1.06,2.12,127.44,0,1.06,0,26.55,0,0,0,1.06,0,1.06,0,1.06,12.74,2.12,1.06,332.42,0,0,1.06,2.12,0,43.54,0,0,1.06,0
 96-106,0,5.46,2.19,136.61,0,1.09,0,36.06,3.28,0,0,0,0,0,0,0,15.3,1.09,4.37,351.9,0,1.09,5.46,4.37,1.09,28.41,0,1.09,2.19,4.37
108-118,0,5.36,3.06,110.3,0,0.77,0,42.13,0,0,0.77,0.77,1.53,0,0.77,0,9.96,0.77,3.06,379.15,0,0,0,1.53,0,26.81,1.53,0,0.77,2.3
120,0,9.8,0,141.1,1.96,0,3.92,54.87,0,0,0,0,1.96,0,1.96,0,13.72,0,3.92,484.07,0,0,1.96,3.92,0,43.12,0,0,3.92,5.88
