stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,ionocyte,mesenchyme,mural_cell,neural,olfactory,periderm,spinal_cord,taste,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0
 24-34,0,0.82,0,0,0,1.64,0,0,0,0,0,0,33.66,3.28,0,13.13,0,0,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,0,80.57,6.45,0,16.11,0,0,0
 48-58,0,0,0.57,0,0,5.74,0,1.15,0,0,0.57,0,128.53,1.15,0,17.79,0,0,0
 60-70,0,0,0,0,0,29.45,0,0,0,0,0,0,222.81,2.94,0,32.39,0,0,0.98
 72-82,0,0,1.96,0,0,76.57,0,7.85,0,0,1.96,0,188.48,12.76,0,18.65,0,0,0
 84-94,0,0,0,0,0,53.1,0,3.19,0,1.06,3.19,1.06,92.4,1.06,0,14.87,1.06,0,0
 96-106,0,0,0,1.09,0,48.09,0,6.56,1.09,0,1.09,0,65.57,5.46,0,4.37,1.09,1.09,0
108-118,0,0,3.06,0.77,0.77,39.06,0.77,3.83,0,0.77,0,0,67.4,5.36,0,2.3,0,0,0
120,0,0,0,0,0,21.56,0,1.96,0,0,0,0,111.71,5.88,0,3.92,0,0,0
