stage,axial,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,0,20,4,0,7,0,0,0,4,0,0,0,0,0,0,0,1,0,8,0,0,4,69,0,1,5,8,0,3,18,3,1,10,30,0,0,0,0,0
 24-34,0,0,5.75,0,0,10.67,0,0,0,3.28,1.64,0,0,0.82,0.82,0,0,0,0,16.42,0,0,4.1,65.67,0.82,0,3.28,0,0,5.75,0,0,0,4.93,16.42,0,0,3.28,0,0
 36-46,0,0,2.42,0,0,16.92,2.42,0.81,0,4.03,0,0,0,0,0,0,0,0,0,15.31,0.81,0,6.45,37.87,0.81,1.61,0,0,0,7.25,0,1.61,0,0,11.28,0,0,1.61,0,0.81
 48-58,0,0,0,0.57,0,12.62,0,0.57,0,4.59,0.57,0.57,0.57,0,0,0.57,0,1.15,0,5.74,1.15,0,3.44,26.97,0,1.15,0.57,0,0,6.89,0,0,1.15,0,7.46,0,0,1.15,0,0.57
 60-70,0,0,1.96,0,0,14.72,0.98,1.96,0.98,4.91,0.98,0,0,0.98,0.98,0,0,0,0,6.87,0,0,1.96,20.61,0,0.98,2.94,0,0,13.74,0,1.96,0,0,3.93,0,0,0.98,0,0.98
 72-82,0,0.98,4.91,0.98,0,17.67,0,0,0.98,13.74,0,0,0,0.98,1.96,0.98,0,0,0,36.32,0,0,5.89,24.54,0,1.96,2.94,0,0.98,10.8,0,0.98,0,0,5.89,0.98,0.98,0,1.96,0
 84-94,0,0,11.68,0,0,12.74,0,1.06,0,5.31,2.12,0,0,1.06,0,1.06,0,1.06,1.06,21.24,0,1.06,5.31,10.62,0,3.19,3.19,0,1.06,12.74,0,1.06,0,0,2.12,0,0,2.12,0,0
 96-106,0,0,6.56,0,0,6.56,0,2.19,2.19,4.37,1.09,0,1.09,3.28,0,0,4.37,0,0,17.49,0,0,2.19,13.11,0,1.09,5.46,0,0,17.49,0,0,0,0,3.28,0,0,1.09,0,0
108-118,0,0,7.66,0,0.77,9.19,0,0.77,1.53,6.89,0,0,0,1.53,0.77,0,1.53,0.77,0,13.79,0,0,3.06,14.55,0,1.53,3.06,0,0,7.66,0,1.53,0,0,2.3,0,0.77,0.77,0,0
120,0,1.96,11.76,0,0,11.76,1.96,0,1.96,0,5.88,0,0,5.88,0,0,0,0,0,11.76,0,0,1.96,19.6,0,0,3.92,0,0,17.64,0,0,0,0,0,0,0,0,1.96,0
