stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.57,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,12.59,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,11,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,39,2,0,1,1,0,1,3,1,0,10,11,0,0,0,0,0
 24-34,0,0,0,0,5.75,0.82,6.57,0,0.82,0,3.28,0,0.82,0,0,0.82,0,0,0.82,0,6.57,0,0,9.03,81.26,1.64,1.64,0,0,0,10.67,0,0,0,4.93,29.55,0,0,3.28,0,0.82
 36-46,0,0,0,0,4.83,0,17.72,0.81,0.81,0.81,6.45,0,0,0.81,1.61,0,0.81,0,0,0,14.5,0,0,4.03,157.91,0,0.81,1.61,0,0,5.64,0,1.61,0,0.81,45.92,0,0.81,3.22,0,0
 48-58,0,0,0,0,1.72,0,26.4,0.57,0,0,16.64,0,0,0,3.44,0.57,0,0,0,4.59,27.54,0,0,0.57,104.43,0.57,0.57,1.15,0,0,6.89,0,0,0.57,0,26.97,0,0.57,2.87,0,1.72
 60-70,0,0,0,0,6.87,0,52.02,0.98,2.94,0,26.5,0.98,0.98,0,3.93,0,0,0.98,0.98,3.93,46.13,0,0.98,1.96,103.06,0,1.96,0,0,0,10.8,0,0,0,0,27.48,0,0.98,1.96,0,3.93
 72-82,0,0,0.98,0,6.87,0.98,84.42,0,1.96,0.98,33.38,1.96,0,0,6.87,0,1.96,0,0,2.94,37.3,0,1.96,10.8,101.11,0,1.96,1.96,0,0,11.78,0,0,0,0,8.83,0,2.94,10.8,0,7.85
 84-94,0,0,0,0,11.68,0,67.97,2.12,7.43,2.12,16.99,0,0,0,10.62,2.12,7.43,0,1.06,2.12,30.8,0,1.06,5.31,71.16,1.06,3.19,3.19,0,0,24.43,0,0,0,0,4.25,0,1.06,3.19,3.19,6.37
 96-106,0,0,0,0,16.39,0,56.83,2.19,1.09,1.09,13.11,3.28,1.09,1.09,14.21,0,5.46,2.19,0,6.56,28.41,0,2.19,3.28,57.92,0,3.28,5.46,0,2.19,21.86,0,0,0,0,3.28,3.28,3.28,9.84,3.28,5.46
108-118,0,0,0.77,0,15.32,0,36,1.53,7.66,3.06,21.45,6.13,0,0.77,15.32,1.53,9.19,0.77,1.53,3.83,25.28,1.53,0.77,2.3,66.64,0.77,1.53,0.77,0,0.77,16.85,0,0,2.3,0,2.3,2.3,1.53,8.43,2.3,13.02
120,0,0,1.96,0,21.56,0,31.36,0,7.84,0,13.72,5.88,0,0,23.52,0,13.72,0,0,1.96,23.52,0,0,1.96,56.83,1.96,3.92,0,0,0,1.96,0,1.96,0,0,5.88,0,0,3.92,3.92,3.92
