stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,15.77,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,22.03,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,48,1,57,1,0,0,0,0,1,0,0,5,3,0,0,0,0,0
 24-34,0,0,0,2.46,0,0,3.28,0,0,4.93,0.82,0,0,9.03,0,0,0,0,0,0,293.05,0,1.64,324.24,42.68,17.24,0,0,0,0,0.82,0,0.82,0.82,4.93,7.39,0,0,1.64,0,0
 36-46,0,0,0,4.03,0,0,6.45,0,0.81,23.36,3.22,0,0,15.31,0,0,0,0.81,0,0,633.26,0,7.25,248.95,49.15,3.22,0,0.81,0,0.81,1.61,0.81,0.81,4.83,0.81,16.11,0,0,1.61,0,0
 48-58,0,0,0,4.02,1.15,0,16.07,0,4.59,40.17,4.59,0,0,11.48,1.15,0,0.57,0,0.57,0.57,885.38,0,33.28,188.78,69.43,0.57,0.57,0,0,2.3,0.57,0,0,0,0,12.05,0,2.87,0.57,1.15,1.15
 60-70,0,1.96,0,6.87,0,0,19.63,0.98,1.96,42.21,7.85,1.96,0,7.85,0,1.96,0,0.98,0.98,0,1405.54,0.98,85.39,131.52,60.85,0,1.96,0.98,0,5.89,0.98,0,0.98,0.98,0,9.82,0,38.28,2.94,33.37,0
 72-82,0,0,0,15.71,3.93,0,133.51,3.93,6.87,72.64,19.63,5.89,0,13.74,1.96,4.91,0.98,0,0.98,0.98,2199.9,0,115.84,163.94,123.69,0,2.94,1.96,0,5.89,3.93,0,2.94,0,0,3.93,0,81.48,13.74,114.85,1.96
 84-94,0,0,0,20.18,6.37,2.12,217.72,3.19,5.31,52.04,24.43,1.06,0,13.81,2.12,6.37,1.06,2.12,2.12,0,1688.64,2.12,138.06,116.82,61.6,3.19,2.12,1.06,0,2.12,5.31,0,4.25,0,0,5.31,1.06,79.65,7.43,132.75,0
 96-106,0,0,0,31.69,5.46,3.28,148.63,3.28,3.28,24.04,18.58,7.65,0,18.58,8.74,6.56,2.19,1.09,3.28,0,1528.89,0,101.63,112.56,114.75,2.19,0,4.37,0,16.39,16.39,0,1.09,0,0,1.09,1.09,69.94,18.58,166.11,0
108-118,0,0,0,10.72,5.36,1.53,62.81,0,4.6,32.94,18.38,6.89,0,5.36,3.06,7.66,0,1.53,3.06,0,1512.78,3.06,86.55,74.3,114.13,3.06,0.77,3.06,0,16.85,3.83,0,0,0.77,0,0,1.53,47.49,13.79,112.6,0
120,0,0,0,17.64,3.92,1.96,37.24,0,1.96,25.48,9.8,5.88,0,5.88,5.88,1.96,0,0,1.96,0,1330.69,0,94.07,70.55,103.87,0,0,1.96,0,17.64,3.92,0,0,0,0,1.96,1.96,39.2,5.88,180.3,0
