stage,blastomeres,endoderm,epidermis,eye,glial,mesenchyme,mural_cell,muscle,neural,otic,periderm,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,2.46,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,8.86,0,0,0.81,0,0,0,0
 48-58,0,0,0,0.57,0,0.57,0,0,8.61,0.57,0,1.15,0,0,0,0
 60-70,0,0,0,0.98,0,0,0,0,17.67,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,2.94,0.98,0,0,13.74,0,0,0.98,0,0.98,0,0
 84-94,0,0,1.06,0,4.25,0,0,1.06,11.68,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,15.3,0,1.09,1.09,1.09,0,0,0
108-118,0,0,0.77,3.06,1.53,0,0.77,0,19.15,0,0,0,0,0,0,0.77
120,0,0,3.92,0,1.96,0,0,0,19.6,0,0,0,0,0,1.96,0
