stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,2,1,0,0,0,0,0,0,1,2,0,0,0,2,0,5,0,0,4,1,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0.82,2.46,0,0,0,0,0.82,0,0,0,0
 36-46,0,0.81,0,0.81,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0.81,0,0.81,0,2.42,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.15,0,0,0,0.57,0,0,0.57,0,0.57,0,0.57,0,0.57,0,0,0,4.02,0,0,0,0,0.57,0,0.57,0,0
 60-70,0,0,0,0,2.94,0,0,0,2.94,0,0.98,1.96,0,0,0,0,0,0.98,0,0.98,0,12.76,0,0,0.98,0,0,0,0.98,0.98,0.98
 72-82,0,0,0.98,1.96,14.72,0,0,0,1.96,0,0,3.93,0,0,0,0,0,3.93,0,0,0,32.39,0.98,0,0,0,4.91,0,0,0,0
 84-94,0,0,0,1.06,3.19,0,0,0,0,0,0,3.19,0,0,0,4.25,0,3.19,0,0,0,10.62,0,0,1.06,4.25,1.06,0,1.06,0,0
 96-106,1.09,0,6.56,3.28,13.11,0,1.09,2.19,4.37,3.28,0,4.37,0,0,0,2.19,1.09,8.74,0,0,2.19,26.23,0,2.19,0,6.56,0,0,2.19,0,0
108-118,0.77,0,3.06,0.77,8.43,0,0.77,0,3.83,1.53,0,3.06,0.77,0,0.77,3.83,0,7.66,0.77,0,0.77,23.74,1.53,0.77,0.77,2.3,1.53,0.77,1.53,0,0
120,0,0,9.8,3.92,7.84,1.96,1.96,0,9.8,3.92,1.96,1.96,0,0,0,9.8,0,15.68,0,0,1.96,70.55,0,0,0,17.64,0,0,3.92,0,0
