stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,hatching_gland,heart,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,1,9,1,0,0,0,0,0,2,0,0,0
 24-34,0,0.82,2.46,0,0,0,0.82,0,0,0,0,27.09,0,0,0,0,0,0,4.1,0,0,0
 36-46,0,0,8.86,0,1.61,0,3.22,0,0,0.81,0,58.81,0,0,0,0,0,0.81,14.5,0.81,0,0
 48-58,0,0,19.51,0,5.74,0,0,0,0,1.72,0,67.71,0,0,0,0,1.15,0,6.89,0,0,0
 60-70,0,0,31.41,0,19.63,0,0,0,0.98,2.94,0,189.43,0,0,0,0,0.98,0,20.61,0,0,0
 72-82,0,1.96,42.21,0,21.6,0,0.98,0.98,0,6.87,0,161.97,0,0,0.98,0,0,0,13.74,0,0,0
 84-94,0,0,41.42,1.06,14.87,0,0,0,0,3.19,0,103.02,0,0,0,1.06,0,0,4.25,1.06,1.06,1.06
 96-106,0,1.09,24.04,0,8.74,0,0,0,0,2.19,0,75.41,0,0,0,0,1.09,0,2.19,1.09,0,0
108-118,0,1.53,23.74,0.77,13.79,0,0,0,0,0,0,88.85,0,0.77,0.77,0,0,0,5.36,0,0,0
120,0,1.96,13.72,0,17.64,0,0,0,0,1.96,0,90.15,0,0,0,0,1.96,0,7.84,0,0,0
