stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,44.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.29,31.54,0,0,134.06,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,25.18,0,78.67,0,15.73,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582.19,28.32,0,0,236.02,0,0,0,47.2,0,3.15,0,0,0,0,0,0
 14-21,0,2,0,2,51,132,0,32,0,0,0,10,4,6,5,0,0,0,1,7,214,0,0,205,671,47,0,13,79,0,0,33,2,7,87,236,0,0,51,0,11
 24-34,0,0,0,0,32.83,12.31,0,27.09,0,3.28,21.34,28.73,0.82,3.28,7.39,1.64,8.21,0,1.64,13.13,560.64,0,0,330.81,593.48,132.98,1.64,10.67,0,0.82,3.28,1.64,1.64,1.64,63.21,168.28,0,0,187.16,0,11.49
 36-46,0,0,0,0,24.17,2.42,0,12.09,0,1.61,69.29,48.34,0,7.25,12.09,0,6.45,0,0,0.81,640.51,0,3.22,262.65,344.83,107.15,0,6.45,0,0.81,3.22,0.81,0,0,0,112.79,0,0,127.3,0,9.67
 48-58,0.57,0,0,0,12.05,1.15,0,20.08,0,6.31,61.4,86.07,0,14.35,9.75,0,8.61,0.57,0.57,1.15,682.25,0,5.16,118.78,163.53,44.76,0.57,5.74,0,0.57,0.57,0,0,0.57,0,88.37,0,2.3,72.3,0,7.46
 60-70,0,0,0,0,20.61,0,0,30.43,0,10.8,61.84,106,0.98,12.76,22.58,0.98,5.89,0.98,2.94,0,1054.15,0,14.72,73.61,111.89,35.33,0,3.93,0,5.89,0,0,0,0,0,29.45,0,9.82,68.71,2.94,12.76
 72-82,0,0,0,0,21.6,0.98,0,41.23,0.98,2.94,80.5,160.99,0.98,23.56,33.38,1.96,8.83,0,0.98,4.91,1087.68,0.98,21.6,60.86,115.84,18.65,1.96,11.78,0,6.87,0.98,0,0,0,0,4.91,1.96,19.63,124.67,12.76,11.78
 84-94,0,0,0,0,48.85,1.06,0,73.28,2.12,9.56,50.98,120.01,1.06,7.43,49.92,5.31,11.68,1.06,0,5.31,831.58,0,23.36,57.35,101.96,24.43,0,7.43,0,6.37,1.06,0,0,0,0,8.5,0,20.18,105.14,9.56,9.56
 96-106,0,0,1.09,0,51.36,1.09,0,37.16,2.19,9.84,34.97,126.77,0,28.41,51.36,3.28,10.93,0,1.09,1.09,631.67,0,21.86,42.62,84.15,20.76,3.28,12.02,0,12.02,1.09,0,3.28,0,0,5.46,0,24.04,110.38,10.93,13.11
108-118,0,0,0,0.77,28.34,0.77,0.77,25.28,0,9.19,29.87,87.32,1.53,8.43,51.32,0.77,18.38,0,3.06,4.6,448.85,1.53,11.49,29.87,74.3,17.62,1.53,6.13,0,16.85,1.53,0,0.77,0,0,3.06,1.53,14.55,85.79,7.66,26.04
120,0,0,0,0,35.28,7.84,0,15.68,0,7.84,21.56,72.51,0,13.72,48.99,1.96,13.72,0,1.96,0,317.49,0,7.84,25.48,50.95,17.64,0,5.88,0,5.88,1.96,0,0,0,0,3.92,1.96,21.56,78.39,1.96,3.92
