stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,312.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,15.77,34.17,0,0,0,55.2,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,525.74,2.63,0,0,191.9,0,2.63,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,31.47,0,0,0,44.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487.78,6.29,0,0,179.38,0,3.15,6.29,0,9.44,6.29,0,0,0,0,0,0
 14-21,0,0,7,50,9,0,23,0,0,15,2,2,0,0,2,0,0,1,23,1,0,22,355,15,0,6,17,0,15,1,31,0,25,108,0,0,2,0,0
 24-34,0,0,4.1,6.57,3.28,0,92.76,0,2.46,7.39,0.82,0,0,0,0,0.82,0,0,64.85,0,0.82,27.09,510.57,4.1,0,3.28,0,0,13.95,0,0,0.82,1.64,89.47,0,0,4.1,0,1.64
 36-46,0,0,0,8.86,1.61,0,121.66,0,0,8.86,0.81,0,0.81,0.81,0,2.42,0.81,1.61,45.12,0,3.22,9.67,282.79,0,1.61,1.61,0,0,6.45,0,0,0.81,0,50.76,0,0,4.83,0,0.81
 48-58,0,0,0,4.59,0.57,0,111.89,0,2.3,9.18,0,0,0,0.57,0.57,0,0,0,57.95,0,2.87,14.92,106.15,0.57,0,1.72,0,0,2.3,0,0,0,0,12.62,0,0,3.44,0,1.72
 60-70,0.98,0,0,5.89,0,0,67.73,0,0,18.65,1.96,0,0,0.98,0,0.98,0,1.96,44.17,0,1.96,4.91,55.95,0.98,0,1.96,0,1.96,3.93,0,0,0,0,4.91,0.98,0,1.96,1.96,1.96
 72-82,0,0,0,6.87,0,0,30.43,0.98,0.98,10.8,1.96,0,1.96,0,0.98,0,0,0.98,50.06,0.98,2.94,7.85,40.25,0,0.98,1.96,0,0.98,2.94,0,0,0,0,1.96,0,0,2.94,0.98,0.98
 84-94,0,0,0,7.43,1.06,1.06,32.92,0,0,3.19,5.31,0,0,1.06,2.12,1.06,2.12,0,35.05,1.06,5.31,10.62,40.36,1.06,1.06,1.06,0,1.06,4.25,0,0,0,0,1.06,1.06,1.06,4.25,1.06,0
 96-106,0,0,0,9.84,0,0,24.04,0,0,12.02,4.37,0,0,2.19,2.19,2.19,0,1.09,25.14,0,0,2.19,28.41,0,0,2.19,0,0,1.09,0,0,2.19,0,0,0,0,0,1.09,1.09
108-118,0,0,0,8.43,3.06,0,22.98,0,0.77,10.72,1.53,0,0.77,2.3,0,0.77,0,0,16.09,0,0.77,4.6,39.83,0.77,0.77,0.77,0,0,5.36,0,0,0,0,0.77,0,0,3.06,0,0
120,0,0,0,11.76,3.92,0,13.72,0,0,13.72,0,0,0,7.84,0,0,0,0,17.64,0,0,1.96,35.28,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0,1.96,0,0
