stage,axial,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,837.09,3.15,0,0,34.62,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,2873,2,0,13,0,21,0,0,5,8,0,0,31,0,0,0,0,8,15,0,2,45,2,1,0,0,0,8,0,8,2,1,1,10,0,0,1,0,1
 24-34,0,1.64,1864.16,2.46,0,20.52,0,132.98,0,2.46,0.82,0.82,0.82,0.82,2.46,0,2.46,1.64,0,26.27,34.48,0,17.24,220.81,9.03,5.75,0.82,0,0,9.85,0,0,0.82,0,2.46,35.3,0,0,6.57,0,1.64
 36-46,0,0.81,1084.43,0,0,21.75,0.81,177.25,1.61,4.83,0,0.81,0,2.42,4.83,0,0.81,0,0.81,20.14,16.11,0.81,5.64,154.69,4.83,7.25,0.81,0,0,8.06,0,0,0,1.61,0,33.84,0,0,2.42,0.81,1.61
 48-58,0,0,915.22,0,0,45.9,0,235.26,0.57,8.61,0,0.57,0,0.57,1.72,0.57,0,0,1.15,25.82,10.33,0.57,3.44,138.86,1.15,2.87,1.72,0.57,0,4.02,0,0,0,0.57,0,18.36,0,0,2.3,0,2.3
 60-70,0,0,983.48,0,0,40.24,0.98,253.23,3.93,14.72,2.94,0,0,0.98,0.98,0.98,0.98,0.98,0,17.67,17.67,0.98,2.94,66.74,0,2.94,5.89,0,0,3.93,0,0,2.94,0,0,8.83,0,0,0.98,0.98,0
 72-82,0,0,1004.24,6.87,0,56.94,0,230.69,4.91,18.65,5.89,0,0,0,0.98,0,0,0,0.98,51.05,16.69,0.98,8.83,113.87,0,17.67,9.82,0,0,4.91,0,0,0,0.98,0,7.85,2.94,1.96,7.85,2.94,0.98
 84-94,0,0,1922.29,7.43,0,35.05,2.12,472.61,0,9.56,10.62,0,0,1.06,14.87,1.06,3.19,1.06,0,31.86,24.43,1.06,1.06,40.36,0,19.12,6.37,0,1.06,15.93,0,0,2.12,0,0,5.31,8.5,1.06,2.12,5.31,0
 96-106,0,1.09,2351.81,7.65,3.28,60.11,1.09,487.41,2.19,25.14,28.41,0,0,6.56,18.58,0,3.28,5.46,1.09,46.99,41.53,1.09,6.56,128.96,2.19,26.23,4.37,0,1.09,34.97,1.09,0,0,1.09,0,8.74,9.84,2.19,7.65,3.28,1.09
108-118,0.77,0,2378.32,5.36,1.53,38.3,0.77,682.47,4.6,13.79,31.4,0,0.77,0.77,22.21,0,0,1.53,1.53,49.02,20.68,1.53,6.89,88.85,2.3,18.38,10.72,0,1.53,13.02,0,0,1.53,0,0,3.06,6.89,0,4.6,1.53,1.53
120,1.96,0,1801.04,5.88,3.92,15.68,0,472.31,5.88,9.8,13.72,0,0,3.92,7.84,0,3.92,3.92,0,37.24,21.56,0,3.92,47.03,1.96,11.76,11.76,0,0,9.8,0,0,0,0,0,0,5.88,0,1.96,0,3.92
