stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,55.17,0,12.26,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,73.56,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,21.03,0,13.14,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,86.75,21.03,0,0,1390.59,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,37.76,0,88.12,0,0,6.29,0,0,0,0,9.44,0,0,0,0,0,0,0,0,3.15,371.34,50.35,0,0,3776.36,0,0,3.15,37.76,66.09,0,69.23,0,0,0,0,0,0
 14-21,0,5,0,0,23,12,5,0,0,3,1,1,1,0,0,0,0,1,2,0,164,83,1,0,1,41,0,1,0,2063,2,64,1868,38,0,0,0,0,0
 24-34,0,0,0,0.82,2.46,1.64,1.64,0,0,1.64,0.82,0,0,0,0,0,0,0,13.95,0,216.71,51.71,0,0.82,0,0,0,2.46,0,6.57,0,11.49,187.98,12.31,0,0,0,0,0
 36-46,0,0,0,0,0,1.61,4.83,1.61,0,0.81,0,0,0,0,0,0,0.81,0,65.26,0,224.78,42.7,0.81,0,0,0.81,0,0,0,4.83,0,0.81,1.61,9.67,0,0,2.42,0,0
 48-58,0,0,0,0,0.57,0.57,6.89,0,0,1.72,0,0,0,0.57,0,0.57,0,0.57,48.77,0,185.34,33.85,0,0,0,1.15,0,1.72,0,1.15,0,0.57,0,6.31,0,0,0.57,0,0
 60-70,0,0,0,0,0,0,7.85,0,0,0,0,0,0,0,0,0,0,0,47.11,0,133.49,14.72,0,0,0,0,0,0,0,0,0,0.98,0,0.98,0.98,0,0,0,0.98
 72-82,0,0,0,0,4.91,0.98,18.65,1.96,0,2.94,0,0,0,0,0,0,0.98,0,76.57,0.98,170.81,28.47,0,0.98,0,0,0,0,0,0,0,0.98,0,4.91,0,0.98,0.98,0,0.98
 84-94,0,0,1.06,0,3.19,0,16.99,2.12,0,1.06,0,0,0,1.06,1.06,0,0,0,76.47,0,173.11,20.18,0,0,1.06,0,0,1.06,0,0,0,1.06,0,3.19,0,1.06,0,1.06,0
 96-106,0,0,0,0,6.56,0,13.11,3.28,2.19,3.28,1.09,0,0,3.28,0,1.09,0,0,62.29,0,178.13,24.04,0,2.19,0,0,1.09,2.19,0,0,1.09,0,0,0,0,0,1.09,1.09,1.09
108-118,0,0,0,0,1.53,0,9.96,0.77,0,1.53,0,0,0.77,0,0,0,0,0,51.32,0,191.49,18.38,0,0,0,0,0,0,0,0,0,1.53,0,2.3,0,0.77,0,0,0
120,0,0,0,0,5.88,1.96,5.88,3.92,0,0,3.92,0,0,1.96,0,0,1.96,0,35.28,0,227.34,31.36,0,0,0,1.96,0,0,0,0,0,0,0,0,0,1.96,1.96,0,1.96
