stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,5,942,395,0,4,0,6,0,75,1,1,4,42,17,0,0,44,0,40,6,0,16,264,4,27,1,5,0,63,0,10,7,12,22,468,0,0,0,0,0
 24-34,0.82,2.46,687.88,831.53,0,45.97,0.82,52.53,5.75,73.06,4.1,0,2.46,96.04,28.73,0.82,10.67,66.49,0,33.66,20.52,0.82,18.06,553.26,4.1,151.04,9.03,0,0,474.45,0,0,18.06,9.85,7.39,425.2,0,0,17.24,0,14.78
 36-46,0.81,0.81,496.29,256.2,0,60.43,2.42,111.18,10.47,27.39,6.45,0,2.42,87.01,9.67,0,26.59,32.23,4.83,38.67,20.95,12.09,9.67,500.32,2.42,144.21,7.25,0,0.81,767,0,0.81,8.06,4.83,0,233.64,0,0,6.45,0,88.62
 48-58,0,0.57,556.02,28.69,0,169.85,4.02,171.57,16.64,64.84,28.69,1.15,2.87,65.99,11.48,1.72,28.69,24.1,12.05,64.27,13.77,22.95,13.77,639.22,5.16,98.69,8.61,0,1.15,743.65,0,0,3.44,5.16,0,233.54,0,0,6.89,0,214.6
 60-70,1.96,0.98,613.45,11.78,0.98,229.68,2.94,144.28,44.17,190.42,99.13,0.98,0,69.69,20.61,2.94,43.19,43.19,3.93,97.17,23.56,35.33,9.82,654.68,9.82,97.17,15.7,0,0,943.24,0,0,4.91,2.94,0,206.12,10.8,3.93,8.83,6.87,170.78
 72-82,24.54,0.98,747.04,25.52,0,279.77,6.87,174.74,82.46,317.08,293.52,1.96,5.89,103.07,28.47,11.78,84.42,123.69,14.72,182.59,19.63,44.17,20.61,777.48,4.91,184.55,20.61,0,1.96,937.49,0.98,0,3.93,3.93,0,145.29,57.92,12.76,22.58,18.65,103.07
 84-94,27.61,6.37,1429.5,37.17,0,226.21,13.81,319.67,62.66,252.76,555.45,0,2.12,128.51,79.65,25.49,120.01,296.31,15.93,99.83,45.67,48.85,18.05,453.49,9.56,210.28,7.43,0,1.06,3175.49,0,0,25.49,2.12,0,103.02,183.73,5.31,18.05,11.68,59.47
 96-106,38.25,5.46,1532.17,48.09,7.65,273.21,30.6,308.18,63.39,243.7,735.49,0,9.84,174.86,120.21,20.76,186.88,492.87,8.74,241.52,55.74,51.36,29.51,599.97,2.19,326.76,14.21,0,6.56,2761.62,1.09,0,25.14,6.56,0,69.94,262.28,7.65,45.9,29.51,37.16
108-118,23.74,11.49,1266.14,33.7,5.36,181.53,43.66,425.11,65.11,227.49,697.03,0,0.77,132.51,108,24.51,135.58,517.03,21.45,265.02,56.68,42.13,52.09,649.54,6.89,229.79,9.19,0,6.89,2978.83,0,0,24.51,6.13,0,50.55,271.92,3.83,29.87,10.72,36.77
120,17.64,1.96,699.64,27.44,0,125.43,19.6,213.62,68.59,152.86,303.77,1.96,3.92,123.47,60.75,7.84,80.35,364.52,5.88,168.54,25.48,37.24,39.2,615.37,5.88,205.78,9.8,0,5.88,1197.43,0,0,21.56,0,0,48.99,113.67,9.8,15.68,9.8,15.68
