stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,69.23,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,745,3,0,38,0,1,0,0,0,0,1,0,1,0,0,10,0,8,10,0,7,11,0,1,0,0,0,1,0,1,0,1,1,4,0,0,1,0,0
 24-34,0,820.04,2.46,0,97.68,0,51.71,0,0,0.82,0,6.57,0,0,0,0,25.45,0,44.33,15.6,1.64,20.52,52.53,0.82,0.82,0.82,0,1.64,2.46,0,0,1.64,0.82,0.82,5.75,0,0,21.34,0,0
 36-46,0,480.98,1.61,0,84.6,0,74.12,1.61,2.42,0,0,12.89,0,0,0,0.81,8.86,0,81.37,7.25,2.42,14.5,33.84,0,2.42,0.81,0,0.81,2.42,0,0,0.81,0,0,12.89,0,0,37.06,0,0.81
 48-58,0,433.22,1.15,0,78.04,1.72,154.93,0.57,6.31,1.15,0,14.35,0,0,0,4.02,17.21,0,150.34,4.02,1.15,16.64,53.94,0.57,0,0.57,0,1.72,2.87,0.57,0,0,0.57,0,14.92,0,0.57,26.4,0,0.57
 60-70,0,395.55,0.98,0.98,64.78,1.96,123.67,0,4.91,8.83,0,5.89,0,0,0,3.93,43.19,0,166.86,8.83,0.98,22.58,56.93,0,0,0,0.98,2.94,1.96,0,0,1.96,2.94,0,17.67,0.98,0,5.89,1.96,0.98
 72-82,0,456.47,16.69,0,62.83,5.89,161.97,1.96,13.74,17.67,0,2.94,0,0.98,0,8.83,140.38,0,259.16,6.87,4.91,42.21,94.24,0.98,1.96,0.98,0,3.93,4.91,0,0,0,0.98,0,24.54,2.94,0,10.8,0.98,0.98
 84-94,0,960.08,6.37,0,87.09,12.74,300.56,3.19,14.87,39.3,0,5.31,0,0,0,12.74,476.85,0,218.78,19.12,6.37,31.86,65.85,0,1.06,1.06,0,4.25,7.43,1.06,0,0,1.06,0,30.8,6.37,0,9.56,4.25,2.12
 96-106,0,1040.39,7.65,1.09,112.56,24.04,314.74,3.28,24.04,59.01,0,4.37,3.28,0,1.09,21.86,748.6,2.19,265.56,15.3,2.19,40.44,170.48,0,5.46,4.37,1.09,3.28,24.04,0,0,1.09,5.46,0,53.55,1.09,5.46,5.46,1.09,4.37
108-118,0,713.88,6.89,1.53,67.4,16.85,354.64,3.06,21.45,58.98,0,3.06,3.06,0,1.53,13.79,1448.44,0,225.96,6.13,4.6,31.4,146.3,0,1.53,6.13,0,0.77,8.43,0,0,2.3,1.53,0,20.68,1.53,1.53,2.3,0.77,2.3
120,0,417.43,0,0,64.67,13.72,182.26,0,19.6,41.16,0,0,0,0,0,3.92,748.64,0,241.05,3.92,0,31.36,86.23,0,3.92,1.96,0,5.88,3.92,0,0,1.96,1.96,0,33.32,1.96,0,1.96,0,0
