stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,26,5,0,0,0,0,0,0,0,3,8,0,0,0,0,0
 24-34,0,0,0.82,0,15.6,0,6.57,0,0,0,0.82,0,0,0.82,0,0.82,0,0,0,0,3.28,0,0,1.64,87.01,0,14.78,0,0,0,7.39,0,0,1.64,22.16,0,0,0,0,0
 36-46,0,0,0,0,17.72,1.61,4.83,1.61,1.61,0,0.81,0,0.81,0,0,0,0.81,0,2.42,0,4.03,0,0,0.81,145.02,2.42,28.2,0,0,0,8.06,0,0,0,20.14,0,0,1.61,0,0
 48-58,0,0,0,0,9.75,0,13.77,1.72,1.72,0.57,7.46,1.15,1.15,0,0.57,0.57,0.57,0,0,0,3.44,0,0,2.3,158.94,1.72,16.64,0,0,0,4.59,1.15,0,0,16.64,0,0,0,0,0.57
 60-70,0,0,0,0,13.74,0,64.78,1.96,0.98,2.94,23.56,0,0,0,0.98,0.98,0.98,0,0.98,1.96,15.7,0,0.98,3.93,377.89,0,14.72,0,0,0.98,6.87,0,0.98,0,32.39,0,0,0.98,0,0
 72-82,0,0,0,0,23.56,0,171.79,0,0.98,2.94,42.21,1.96,3.93,0,0.98,0.98,0,0,0,0,32.39,0,0.98,2.94,426.04,0,30.43,1.96,0,0,2.94,0.98,0,0,35.34,0,0,1.96,0,0
 84-94,0,0,2.12,0,13.81,0,113.64,0,1.06,2.12,37.17,0,1.06,0,1.06,0,2.12,1.06,0,0,9.56,1.06,0,4.25,220.9,0,21.24,2.12,0,0,1.06,1.06,0,0,21.24,0,1.06,4.25,2.12,0
 96-106,0,0,1.09,0,7.65,4.37,108.19,1.09,3.28,2.19,24.04,1.09,0,1.09,5.46,0,1.09,0,1.09,0,22.95,3.28,1.09,4.37,213.11,0,32.79,1.09,0,0,3.28,1.09,0,0,4.37,0,0,2.19,0,1.09
108-118,0,0,1.53,0,6.13,0.77,110.3,0,0,1.53,19.15,0.77,0,0,1.53,2.3,3.83,0,0.77,0,26.81,2.3,1.53,2.3,255.83,0,26.04,3.83,0,0,0,0,0,0,6.13,1.53,0,4.6,0.77,0
120,0,0,0,0,15.68,3.92,125.43,0,1.96,0,35.28,0,0,0,5.88,3.92,0,0,0,0,13.72,0,3.92,9.8,213.62,0,11.76,0,0,0,1.96,1.96,0,0,5.88,0,0,1.96,0,0
