stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,17.24,0,0,0,0,0.82,0,0,0,0,0.82,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,8.06,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,0,10.33,0,0,0,0,0.57,0,0,0,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,2.94,0,0,2.94,0,0,0,0,14.72,0.98,0,0,0,0.98,0,0,0,0,0,0,0.98,0,0.98,0,0,0
 72-82,0,0,0.98,0,6.87,0,0.98,6.87,0,0,0,0,107,2.94,0,0,0,9.82,0,0,0,0,0,0,0,0,0,0,0.98,0.98
 84-94,1.06,1.06,1.06,0,4.25,0,0,2.12,1.06,0,0,1.06,409.95,1.06,1.06,0,0,11.68,0,0,0,0,1.06,0,1.06,0,0,0,1.06,0
 96-106,0,4.37,1.09,1.09,15.3,0,0,5.46,1.09,3.28,0,0,634.94,5.46,1.09,1.09,2.19,73.22,1.09,1.09,1.09,0,10.93,0,0,0,1.09,0,3.28,1.09
108-118,0,3.83,2.3,0.77,9.19,1.53,0,3.83,2.3,0,0.77,0,1355.75,9.19,0,0,2.3,62.81,0,0,0,0,5.36,1.53,1.53,0.77,0,1.53,2.3,0
120,0,5.88,0,0,3.92,0,0,3.92,1.96,0,1.96,0,652.61,13.72,0,0,5.88,41.16,0,0,0,0,1.96,0,0,0,1.96,1.96,3.92,0
