stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,12.26,171.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,0,13.14,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,94.63,2.63,0,0,68.35,0,0,0,0,0,0,0,0
 10-12,0,3.15,12.59,0,0,0,25.18,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,84.97,0,0,0,72.38,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,7,2,0,4,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,2,21,2,0,0,0,0,2,1,2,16,0,0,0
 24-34,0,0,0,0,0,0,3.28,0,0,1.64,0,0,0,0,0.82,0,0,0,0,5.75,0,0,1.64,58.28,0,0.82,0,0,2.46,0,0,1.64,18.88,0,2.46,0
 36-46,0,0,0,1.61,0,0,7.25,0,0,0.81,0,0,0,0,0,0,0.81,0,0.81,1.61,0,0.81,1.61,58.81,0.81,0.81,1.61,0,1.61,0,0,0,16.92,0,0.81,0
 48-58,0,0,0,0.57,0,0,9.18,0,0.57,0.57,0,0,0,0.57,0.57,0,0.57,0,0.57,12.05,0,0,0,53.36,0,0,0,0,0,0,0,0,9.75,0,0.57,0
 60-70,0,0,0,0,0,0,13.74,0,0,1.96,0,0,0.98,0,0,0,0,0,0.98,11.78,0,0,1.96,50.06,0,0,0,0,1.96,0,0,0,10.8,0,0,0
 72-82,0,0,0,0,2.94,0,13.74,0,0,5.89,0,0,0,0,0,0,0,0,0,10.8,0,0,0.98,30.43,0,0,0,0,0.98,0,0,0,4.91,0,1.96,0
 84-94,0,0,0,0,1.06,0,18.05,0,0,4.25,0,0,0,2.12,0,0,0,0,0,6.37,0,0,2.12,11.68,1.06,1.06,1.06,0,1.06,0,1.06,0,1.06,0,2.12,0
 96-106,0,0,0,0,3.28,0,8.74,0,2.19,3.28,1.09,0,0,0,0,0,0,0,0,8.74,0,0,3.28,17.49,0,0,0,0,3.28,0,0,0,1.09,0,0,1.09
108-118,0,0,0,4.6,1.53,0.77,11.49,0,0,2.3,0.77,0,0,0,0.77,1.53,0.77,0.77,0,11.49,0.77,0,2.3,25.28,0,2.3,1.53,0,0.77,0,0,0,0.77,0.77,1.53,0
120,0,0,0,1.96,5.88,0,7.84,1.96,0,5.88,0,0,0,0,0,0,1.96,0,0,7.84,1.96,0,1.96,17.64,0,0,0,0,9.8,0,0,0,1.96,0,3.92,0
