stage,axial,blastomeres,endocrine_pancreas,endoderm,erythrocytes,eye,glial,gut,hatching_gland,heart,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,2.63,0,5.26,0,0,0,0,0,0,0,0,0,42.06,0,21.03,0,0,0,0,0
 10-12,0,3.15,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,22.03,0,15.73,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,1,0,0,0,2,0,0,0
 24-34,0,0,0,0,0,2.46,0.82,0,0,0.82,0,21.34,0,0,0.82,5.75,0,0,0,24.63,0.82,0.82,0
 36-46,0,0,0,0,0,0.81,1.61,0,0,0,0,8.06,1.61,0,0,4.03,0,0,0,23.36,0,1.61,0
 48-58,0,0,0,0,0,4.02,0.57,0,0,1.15,0,3.44,1.15,0,0,3.44,0,0,0,10.9,0,1.15,0
 60-70,0,0,0,0,0,1.96,0,0,0,2.94,0,5.89,2.94,0,0,3.93,0,0,0,16.69,0,1.96,0
 72-82,0,0,0,0,0.98,5.89,0.98,0,0,0.98,0,4.91,5.89,0,0,4.91,0,0,0,49.08,0,0,0
 84-94,0,0,0,0,0,1.06,0,1.06,0,0,0,0,1.06,1.06,0,0,1.06,0,0,96.65,0,1.06,0
 96-106,0,0,0,0,0,1.09,0,4.37,0,0,0,3.28,3.28,0,0,7.65,0,0,1.09,103.82,0,0,0
108-118,0,0,0.77,0,0,0.77,0,0.77,0,0.77,0,3.06,0,0,0,3.06,0,0,0,106.47,0,0,0.77
120,0,0,0,0,1.96,3.92,0,7.84,0,0,1.96,0,0,0,3.92,7.84,0,0,0,48.99,0,0,0
