stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,immune,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,15.6,0,0,0,8.21,0,0,0,0
 36-46,0,0,20.14,0,0,0,0.81,0,0,0,0,0,53.98,0,0,0,16.92,0,0,0,0
 48-58,0.57,0,118.78,0,0.57,0,0.57,0,0,1.15,0,0,72.87,0,0,0.57,12.05,0,0,0,0
 60-70,0,0,356.29,0,0,0,5.89,0,0,1.96,0,0,109.93,0.98,0,0.98,5.89,0,0,0,0
 72-82,0,0,373.03,0,0,0.98,9.82,0,0,2.94,0,0,174.74,0,0,0,11.78,0,0.98,0.98,0
 84-94,3.19,0,276.13,1.06,0,0,6.37,0,0,6.37,1.06,0,116.82,0,0,0,4.25,0,0,0,1.06
 96-106,3.28,1.09,165.02,0,0,0,9.84,0,0,4.37,0,1.09,83.06,0,0,1.09,3.28,1.09,1.09,0,0
108-118,0.77,0,149.36,0,0,0,5.36,0,0.77,0.77,0,0,115.66,0,1.53,0,2.3,0,0,0,1.53
120,3.92,0,145.02,0,0,0,7.84,1.96,1.96,1.96,0,0,148.94,0,1.96,0,1.96,0,0,0,0
