stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,26,0,0,0,0,0,2,1,0,8,0,0,0,0,0
 24-34,0,0,0,5.75,0,0,4.93,0,0,0,0,0.82,0,0,0.82,0.82,0,0,0,0,6.57,0,0,1.64,27.09,0.82,0,2.46,0,0,6.57,2.46,0.82,7.39,0,0,0.82,0,0
 36-46,0,0,0,2.42,0,0,4.03,0,0,1.61,4.83,0.81,0,0,0,0,0,0,0,0,4.83,0,0,2.42,37.06,0,0,0.81,0,0,4.03,0.81,0,12.89,0,0,0.81,0,0
 48-58,0,0,0,1.15,0,0,8.03,0.57,0,0.57,7.46,0.57,0.57,0,0,0,0.57,0,0.57,0,11.48,0.57,1.72,0.57,17.21,0,0.57,0,0,0,2.3,0,0,5.16,0,0,0.57,0,2.3
 60-70,0,0,0,3.93,0,0,8.83,1.96,0.98,0.98,7.85,1.96,0,0,0.98,0,1.96,0,0.98,0.98,17.67,0,0,0,7.85,0,0.98,0,0,0,1.96,0,0,2.94,0,0.98,0,0,0.98
 72-82,0,0,1.96,0.98,0,0,8.83,0,0,0,18.65,0,0,0.98,0.98,1.96,0,0.98,1.96,0,23.56,0,0,0.98,19.63,0,0.98,1.96,0,0,7.85,0,0,0.98,1.96,0,0.98,2.94,1.96
 84-94,0,0,1.06,8.5,0,0,5.31,0,2.12,2.12,4.25,3.19,1.06,1.06,0,5.31,1.06,1.06,0,0,12.74,1.06,0,2.12,10.62,2.12,1.06,0,0,0,5.31,1.06,0,1.06,0,1.06,2.12,1.06,1.06
 96-106,0,0,1.09,4.37,0,0,3.28,0,0,1.09,6.56,5.46,0,0,0,1.09,1.09,1.09,0,0,10.93,0,0,0,4.37,0,3.28,0,0,1.09,7.65,1.09,0,2.19,0,1.09,0,3.28,0
108-118,0,0,0,5.36,1.53,0.77,1.53,0,0,0.77,4.6,2.3,0,0.77,3.06,0,0.77,0.77,0.77,0,3.83,0,0.77,0,5.36,0.77,0,2.3,0,0,5.36,0.77,0,0,0,0.77,0.77,0.77,0
120,0,0,0,7.84,0,0,3.92,0,0,0,1.96,1.96,0,0,0,1.96,0,1.96,0,0,5.88,0,0,1.96,5.88,0,0,1.96,0,0,11.76,0,0,1.96,0,0,0,1.96,0
