stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,105.42,2424.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0,0,0
  5-6,128.72,2592.84,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,67.43,18.39,0,0,30.65,0,24.52,0,0,0,0,0,0,0,0,0
  7-9,47.32,42.06,118.29,0,0,0,136.69,0,0,0,0,0,63.09,0,0,0,0,0,0,0,0,0,0,0,1303.84,60.46,0,0,570.43,0,7.89,7.89,0,0,0,0,0,0,0,0
 10-12,0,28.32,53.5,0,6.29,0,84.97,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,619.95,3.15,0,0,283.23,0,0,6.29,3.15,53.5,0,0,0,0,0,0
 14-21,0,1,3,33,7,0,22,0,0,0,7,1,0,0,0,0,0,0,0,0,30,0,0,18,414,5,1,2,9,0,7,0,50,4,22,118,0,0,0,0
 24-34,0,0,0,10.67,3.28,0,122.31,0,0,0,14.78,0,0,0.82,1.64,0,0.82,1.64,1.64,0,77.16,0,0.82,30.37,932.49,5.75,3.28,4.1,0,0,16.42,0,0,1.64,2.46,232.3,0,8.21,0,2.46
 36-46,0,0,0,7.25,0,0,298.9,0,0.81,1.61,14.5,0,0,0,0.81,0,0.81,0.81,0,0,67.68,0,2.42,17.72,617.14,2.42,3.22,0,0,0,8.06,0,0,0,0.81,145.83,0,7.25,0,0.81
 48-58,0,0,0,9.18,1.15,0,348.3,0.57,0,0,17.21,1.72,0,0.57,0.57,0.57,0.57,1.15,0,0.57,88.94,0.57,4.02,21.23,288.05,1.72,0,2.3,0,0,6.31,0,0,0,0,52.22,0,6.31,0,1.72
 60-70,0,0,0,9.82,0,0,198.27,0,0,0.98,19.63,1.96,0,0.98,0.98,0,0.98,0,0.98,0,45.15,0,5.89,5.89,117.78,0,0,1.96,0,0,0.98,0,0,0,0,5.89,0,2.94,0,0
 72-82,0,0,0,14.72,1.96,0,86.39,0,0,0,30.43,2.94,0,1.96,2.94,0,0,0.98,1.96,0,72.64,0,4.91,9.82,104.06,0,1.96,2.94,0,0,0,0,0,1.96,0,0.98,0.98,7.85,0,0
 84-94,0,0,0,8.5,2.12,0,65.85,0,0,1.06,14.87,4.25,0,0,3.19,0,1.06,0,0,0,52.04,0,7.43,8.5,61.6,3.19,0,2.12,0,0,0,0,0,1.06,0,2.12,2.12,3.19,0,0
 96-106,0,0,0,9.84,1.09,0,55.74,0,0,0,10.93,2.19,0,3.28,3.28,0,1.09,0,2.19,0,41.53,0,2.19,6.56,83.06,1.09,1.09,4.37,0,0,2.19,0,0,1.09,0,0,0,6.56,1.09,0
108-118,0,0,0,6.89,2.3,0.77,55.92,0,0,0,18.38,4.6,0,0,3.06,0.77,0.77,0.77,0.77,0,34.47,0,2.3,10.72,96.51,1.53,2.3,5.36,0,0.77,1.53,0,0,0.77,0,0.77,0,3.83,0,0
120,0,0,0,3.92,5.88,0,45.08,0,0,0,15.68,0,0,0,1.96,0,0,1.96,0,0,21.56,0,0,3.92,78.39,1.96,1.96,1.96,0,0,0,0,0,0,0,1.96,1.96,3.92,0,0
