stage,epidermis,eye,glial,heart,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,otic,periderm,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,1,0
 24-34,0,0.82,0,0,0,0,1.64,0,13.13,0,0,0,0.82,0
 36-46,0,0,0.81,0,0,0,0.81,0,2.42,0,0,0,1.61,0.81
 48-58,0,2.87,2.3,0,0,0,4.02,0.57,6.31,0.57,0.57,0.57,4.02,0
 60-70,0,1.96,0.98,0,0,0,3.93,0,1.96,0,0,0,0,0
 72-82,0,2.94,1.96,0.98,0,0.98,3.93,0,3.93,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,1.06,1.06,0,0,0,0,0
 96-106,1.09,0,0,0,1.09,1.09,1.09,0,3.28,0,0,1.09,0,1.09
108-118,0,0,0,0,0,0.77,1.53,0,1.53,0,0,0,0,1.53
120,1.96,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0
