stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,202.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,7.89,0,0,13.14,0,0,0,0,13.14,0,0,0,0,0,0,0,0,73.6,5.26,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,9.44,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,66.09,12.59,0,0,37.76,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,7,0,4,0,0,3,0,0,0,0,0,0,0,4,0,4,40,2,1,0,1,0,0,8,1,1,5,12,0,0,0,0
 24-34,0,0,0,1.64,0,7.39,0,0,0.82,0,0,0.82,0,0,0,0,4.1,0,4.93,57.46,0,0,0,0,0,1.64,0,0,0,2.46,8.21,0,0,2.46,0
 36-46,0,0,0,0.81,0,16.92,0,0.81,3.22,0,0,0,0,0,0,0,9.67,0,1.61,42.7,0,0,0.81,0,0,0,0,0,0,0,16.11,0,0,0,0
 48-58,0,0,0,0.57,0,16.64,0,0,4.02,0.57,0,0,0,0,0,0,11.48,0,1.15,28.12,0,0.57,0,0,0,0,0,0,0,0,6.31,0,0,1.15,0
 60-70,0,0,0,2.94,0,11.78,0,0.98,5.89,0,0.98,0.98,0,0.98,0,0,9.82,0,0,25.52,0,0,0,0,0,0.98,0,0,0,0,4.91,0,0.98,0,0
 72-82,0,0,0,1.96,0,5.89,0,1.96,2.94,0,0,0,0,0,0,0.98,10.8,0.98,0,19.63,0,0,0,0,0.98,0.98,0,0,0,0,2.94,0,0,0,0
 84-94,0,0,0,2.12,0,7.43,0,1.06,5.31,1.06,0,1.06,0,1.06,0,0,10.62,2.12,0,13.81,0,0,1.06,0,0,1.06,0,0,0,0,1.06,0,0,0,1.06
 96-106,0,0,0,1.09,0,5.46,0,0,4.37,2.19,0,0,0,0,0,0,13.11,0,2.19,12.02,0,0,0,0,0,2.19,0,0,0,0,1.09,0,0,2.19,0
108-118,0,0,0,0.77,0,6.89,0,0,2.3,0,0,0,0.77,0,0.77,0,5.36,0,3.83,19.15,0,0.77,0,0,0,0.77,0,0,0,0,0.77,0.77,0,0,0
120,0,0,0,0,0,1.96,1.96,0,3.92,0,0,0,0,0,0,0,1.96,1.96,0,13.72,0,0,0,1.96,0,5.88,0,0,0,0,0,0,0,1.96,0
