stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,15.73,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,5,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,17,1,0,0,0,0,1,8,5,0,0,0,0,0
 24-34,0,0,0.82,0,3.28,0,0,0,0,0,0,0,0,0,0,0,4.93,0,0.82,31.19,0,0,0,0,1.64,0,0.82,5.75,0,0,0,0,0
 36-46,0,0,0,0,4.83,0,0,0,1.61,0,0,0,0,0,0,0,8.86,0,0,32.23,0,0,0,0,0.81,0,0,7.25,0,0,0,0,0
 48-58,0,0,1.15,0,12.62,0,0,0,4.59,0,0,0,0,0,0,0.57,5.74,0,0,22.38,0,0.57,0,0,0.57,0,0,8.03,0,0,1.15,0,0
 60-70,0,0,0,0,20.61,0.98,0,0,0.98,0,0,0,0.98,0,0,0,6.87,0,1.96,19.63,0,0,0,0,0,0,0,2.94,0,0,0.98,0,0
 72-82,0,0,1.96,1.96,17.67,0.98,0.98,0,9.82,0.98,0,0,0,0,0,0,8.83,0.98,1.96,28.47,0,0,0,0,0,0,0,1.96,0,0,2.94,0,0
 84-94,0,1.06,0,3.19,15.93,0,0,1.06,3.19,1.06,0,1.06,0,0,0,0,3.19,0,2.12,14.87,0,0,0,0,3.19,0,0,4.25,1.06,0,1.06,0,0
 96-106,0,1.09,0,0,8.74,1.09,0,1.09,2.19,1.09,1.09,1.09,0,1.09,1.09,0,7.65,0,3.28,14.21,1.09,3.28,0,0,1.09,0,0,0,0,1.09,1.09,0,1.09
108-118,0,0,1.53,3.83,13.02,0,0,0,5.36,1.53,0,0.77,0,0,1.53,0,6.13,0,1.53,17.62,0,0,1.53,0,0.77,0,0,0,0.77,0,0,0.77,0
120,0,0,1.96,7.84,5.88,0,0,0,9.8,0,0,0,0,0,0,0,1.96,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0
