stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,9.85,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,16.42,0,3.28,0,0,0,0,0,5.75,0,0,0,0,0
 36-46,0,0,0,0,0,78.15,0.81,0,0,0,0,0.81,0,0,0,0,0,0.81,0,0,0,73.32,0,4.83,0,0,0,0,0,8.06,0,0,0,0,0.81
 48-58,0,0,0.57,0.57,0,459.04,0,0.57,0,5.16,0,0,0,0,0.57,0,0,3.44,0,0,0.57,95.83,0,1.15,0,0,0.57,0,0,21.8,0,0,1.15,0,0.57
 60-70,0,0,0,0,0,1783.43,0,0,0.98,9.82,0,0,1.96,0.98,0.98,0,0,4.91,0,0.98,1.96,159.01,0,0.98,0,0,0.98,0,0,21.59,0,0,1.96,0,0.98
 72-82,0,0,8.83,4.91,0,2242.12,1.96,0.98,3.93,43.19,1.96,0,0,0,0.98,0,0.98,31.41,0,1.96,1.96,197.31,0,5.89,1.96,0,2.94,0,0.98,15.71,0,0.98,0,1.96,1.96
 84-94,0,1.06,12.74,2.12,0,1709.88,1.06,1.06,1.06,45.67,0,0,2.12,0,0,0,0,23.36,1.06,0,5.31,124.26,0,2.12,0,1.06,7.43,1.06,1.06,13.81,1.06,0,4.25,1.06,0
 96-106,0,0,13.11,3.28,0,1301.58,1.09,3.28,0,28.41,1.09,2.19,4.37,0,2.19,0,2.19,26.23,0,1.09,4.37,108.19,0,2.19,3.28,0,4.37,1.09,0,3.28,1.09,0,5.46,1.09,0
108-118,0,0,7.66,2.3,1.53,909.2,0.77,1.53,3.06,17.62,1.53,0,1.53,0,1.53,0.77,2.3,13.79,0.77,2.3,3.83,134.81,1.53,2.3,0,0,3.06,0.77,0,3.06,0,0.77,3.06,3.06,0
120,0,0,23.52,1.96,0,834.87,1.96,0,0,19.6,1.96,0,1.96,1.96,1.96,0,0,11.76,0,0,3.92,186.18,0,0,0,0,7.84,0,0,0,0,0,0,0,0
