stage,endocrine_pancreas,epidermis,eye,glial,gut,iridophores,lateral_line,melanocytes,muscle,neural,olfactory,pronephros,spinal_cord
 14-21,0,0,0,1,0,0,0,0,0,4,0,0,8
 24-34,0,0,0,2.46,0,0,0,0.82,0,32.01,0,0.82,27.91
 36-46,0,0,0,3.22,0,0,0,0,0,87.01,3.22,0.81,16.92
 48-58,0,0,0,1.72,0,0,0,0,0,29.84,1.72,0,8.61
 60-70,0,0,0,16.69,0,0.98,0,0,0,27.48,2.94,0,6.87
 72-82,0.98,0,1.96,6.87,0,0,0,0,0.98,11.78,5.89,0,2.94
 84-94,1.06,0,1.06,4.25,0,0,1.06,0,0,7.43,10.62,2.12,4.25
 96-106,0,1.09,2.19,4.37,0,0,0,0,0,5.46,7.65,0,2.19
108-118,0,0,0.77,3.06,0.77,0,0,0,0,7.66,7.66,0.77,3.06
120,0,0,0,1.96,1.96,0,0,0,0,1.96,0,0,0
