stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,heart,immune,liver,mesenchyme,muscle,neural,periderm,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4
 24-34,0,1.64,0,1.64,0,0,0.82,0,0,0,0.82,0.82,0,0,7.39
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,2.42,0,0,2.42
 48-58,0,0,0,0,0,0,0,0.57,0,1.15,0,1.15,0.57,0,2.3
 60-70,0,0,0,0.98,0,0,0,2.94,0,0,0.98,5.89,2.94,0,2.94
 72-82,0,0,0,0,0,0.98,0.98,0.98,0.98,0.98,0,1.96,1.96,0,0.98
 84-94,0,0,0,1.06,0,0,2.12,7.43,0,0,0,0,3.19,1.06,3.19
 96-106,0,0,1.09,0,0,0,1.09,9.84,0,3.28,0,0,2.19,0,1.09
108-118,0,0.77,1.53,0,0,0,0,2.3,0,0.77,0,0.77,3.06,0.77,3.06
120,0,1.96,1.96,0,1.96,0,0,11.76,0,0,0,1.96,11.76,0,5.88
