stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,12,3,0,0,0,0,0
 24-34,0,0,0.82,2.46,0,0.82,0,0,0,0,0,0,0,1.64,0,2.46,51.71,5.75,0.82,0.82,0,0,9.85,0,0,1.64,22.16,0,0,0,0,0
 36-46,0,0,0,3.22,0,0.81,0,0,0,0,0,0,0,0.81,0.81,0,116.02,0,0,0,0,0,4.83,0,0,0,27.39,0,0,1.61,0,0.81
 48-58,0,0,0,0.57,0,9.75,0,0,1.15,0,0,0,0,6.31,0.57,0.57,165.26,1.15,0,0.57,0,0,3.44,0,0,0,25.82,0,0,0,0,0.57
 60-70,0,0,0,0,0,43.19,0,0,9.82,0,0,0,0,5.89,0,0.98,359.24,1.96,0,0,0,0.98,2.94,0,0,0,30.43,0,0,0.98,0,0.98
 72-82,0,0,0.98,0.98,1.96,97.18,0,1.96,10.8,1.96,0,0,0,4.91,0,0.98,439.78,0,0,0.98,0,0,0.98,0,0,0,26.5,0,0,1.96,0.98,0
 84-94,0,0,0,3.19,1.06,86.03,0,1.06,8.5,0,0,0,0,7.43,0,0,234.71,0,2.12,0,0,0,1.06,0,0,0,13.81,0,0,0,0,1.06
 96-106,0,0,0,3.28,0,79.78,1.09,0,10.93,0,1.09,0,0,3.28,0,0,205.46,3.28,1.09,1.09,0,0,3.28,0,0,0,6.56,2.19,1.09,1.09,0,0
108-118,0,0,0,1.53,0,62.04,0,0.77,7.66,0.77,0.77,0.77,0.77,8.43,0,2.3,283.41,0.77,0.77,0,0,0,0.77,0,0,0,6.89,0,0,1.53,0.77,0
120,0,0,0,5.88,0,50.95,0,0,3.92,0,1.96,1.96,0,5.88,0,0,276.33,0,0,1.96,0,0,0,0,0,0,11.76,0,0,0,0,1.96
