stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,0,0,0,11.49,0,0.82,0.82,0,0,0,0,0,0,0.82,2.46,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0,5.64,19.34,0,1.61,4.83,0,0,0,0.81,0,0,0,4.83,0,0,0,0
 48-58,0,0,0,0,0,3.44,2.3,0,0,0.57,0,0,0,0,0,0,0,5.74,0,0,4.59,14.35,0.57,0,8.61,0,0,0,0,0,0,0,0.57,0,0,0,0
 60-70,0,0,0.98,0,0,7.85,33.37,0,0,0.98,0,0,0,0,0,0,0.98,2.94,0,0,5.89,34.35,0,0,4.91,0,0,1.96,0,0,0,0,1.96,0,0.98,0,0
 72-82,0,0,0.98,3.93,0,16.69,53.01,0,0.98,3.93,0.98,0,0.98,0,0.98,0.98,0,25.52,0,0,8.83,63.81,0,0.98,7.85,0,0,0.98,0,0.98,0,0,9.82,0,1.96,0,1.96
 84-94,0,1.06,1.06,2.12,2.12,16.99,80.71,1.06,0,3.19,0,1.06,3.19,1.06,1.06,0,0,10.62,1.06,0,10.62,32.92,1.06,0,11.68,0,0,7.43,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,5.46,3.28,0,36.06,99.45,3.28,1.09,12.02,4.37,0,2.19,0,1.09,0,5.46,21.86,1.09,1.09,19.67,59.01,1.09,1.09,7.65,1.09,0,17.49,0,0,0,0,0,0,2.19,2.19,1.09
108-118,0,0.77,5.36,4.6,1.53,10.72,82.72,0,0.77,4.6,3.06,0,0,0.77,0.77,0.77,2.3,13.79,0,0.77,13.02,49.02,0,0.77,4.6,0,0.77,2.3,0,0,0.77,0,0.77,0,0,0.77,1.53
120,0,0,3.92,1.96,0,9.8,84.27,0,1.96,1.96,1.96,0,3.92,0,0,0,1.96,17.64,0,0,15.68,29.4,0,0,11.76,0,0,9.8,0,0,0,0,0,1.96,1.96,0,0
