stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,0,6,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,11,0,0,0,0,4,0,4,0,0,0,0
 24-34,0,0,8.21,0,0,3.28,0,0.82,0.82,0,0,0,0,0.82,0,0,0,0,0,0,20.52,0,4.1,1.64,0,9.85,4.1,4.93,0,0,0,0
 36-46,0,0,1.61,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,17.72,0,4.83,0,0,8.86,2.42,8.86,0,0,0,0
 48-58,0,0,1.72,0,0,28.12,0,1.72,0,2.87,0,0,0,0,1.72,0,1.15,0,0,0.57,50.49,0,4.59,2.87,0,2.87,1.72,12.62,0,0,0,0
 60-70,0,0,2.94,0,0,296.42,0,0,0,1.96,0,0,0,0,3.93,0,5.89,0.98,0.98,3.93,116.8,0,5.89,0.98,0,2.94,1.96,11.78,0,0,0,0
 72-82,2.94,0,1.96,0,0,470.22,0.98,0,0.98,8.83,3.93,0,0.98,0,4.91,0,7.85,0,1.96,1.96,203.2,0.98,13.74,5.89,0,6.87,0.98,6.87,0,0.98,0,0
 84-94,0,1.06,9.56,0,1.06,265.51,0,1.06,1.06,7.43,1.06,0,0,0,9.56,1.06,6.37,0,0,3.19,110.45,0,14.87,12.74,0,15.93,4.25,4.25,0,1.06,1.06,2.12
 96-106,0,0,7.65,1.09,0,201.08,0,1.09,0,9.84,1.09,0,0,1.09,18.58,1.09,10.93,0,0,1.09,122.4,0,24.04,13.11,1.09,4.37,0,5.46,1.09,0,0,0
108-118,0,0.77,7.66,0,0.77,143.24,0.77,0,0,6.13,1.53,0.77,0,0,16.09,1.53,4.6,0,0.77,0,138.64,0,14.55,8.43,0.77,6.13,1.53,0.77,0,0,0.77,0
120,0,0,1.96,0,0,117.59,3.92,0,0,3.92,3.92,0,0,0,9.8,0,9.8,1.96,0,1.96,150.9,0,7.84,5.88,0,1.96,3.92,0,0,0,0,1.96
