stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,105.42,1370.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,171.63,815.24,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,30.65,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,7.89,5.26,15.77,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,110.41,18.4,0,0,36.8,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,34.62,0,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,2,5,4,0,7,0,0,0,1,0,0,0,0,0,0,2,0,2,21,0,0,0,2,0,0,14,1,21,11,0,0,0
 24-34,0,0,0,5.75,0,0,1.64,0,0,0,0.82,0,0,0,1.64,0,0,2.46,0,4.93,18.88,0,0.82,0,0,0,0.82,0,0,2.46,5.75,0,0,0
 36-46,0,0,0,4.03,0.81,0,0.81,0,1.61,0,2.42,0,0,0,0.81,0,0,4.03,0,3.22,12.89,0,1.61,0,0,0,1.61,0,0,0,2.42,0,0,0
 48-58,0,0,0,2.87,0,0,1.72,0,0,1.72,3.44,0,0,0.57,3.44,0,0.57,7.46,1.15,0.57,15.49,0.57,1.72,0,0,0,0.57,0,0,0,2.87,0,0,0
 60-70,0,0,0,2.94,0,0,7.85,1.96,0.98,0.98,4.91,0,0,0,5.89,0,0,6.87,0.98,0,23.56,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0
 72-82,0,0,0,0.98,0,0,4.91,0,0.98,0,2.94,0,0,0,13.74,0,0,21.6,0.98,0.98,21.6,0,0,0,0,0,0,0,0,0,0,2.94,0,0.98
 84-94,0,0,0,6.37,0,0,5.31,0,1.06,0,0,0,0,0,23.36,0,0,16.99,0,1.06,10.62,0,0,0,0,0,3.19,0,0,0,2.12,1.06,0,0
 96-106,0,0,0,9.84,0,1.09,2.19,0,3.28,0,1.09,2.19,0,0,45.9,1.09,0,27.32,0,0,4.37,0,0,0,0,1.09,1.09,0,1.09,0,1.09,0,1.09,1.09
108-118,0,0,0,16.09,0,0,0,0,0.77,0,1.53,0,0,0,34.47,0,0,13.79,0,1.53,14.55,0,0,0.77,0,0.77,0,0,0,0,0,0.77,0,0
120,0,0,0,7.84,0,0,1.96,0,0,0,3.92,0,0,0,48.99,0,0,9.8,0,0,17.64,0,0,1.96,0,0,0,0,0,0,0,0,0,0
