stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,13,0,0,0,0,1,10,0,0,0,0
 24-34,0,2.46,0,2.46,0,0,0.82,0,0,0,0,0,0,0,0,0,44.33,0.82,0,0.82,0,0,9.03,0,0,0,0
 36-46,0,2.42,0,0.81,0,0,1.61,0,0,0,0,0,0.81,0.81,0,0,120.85,0,0,0,0.81,0,15.31,0,0,0.81,0
 48-58,0,0.57,0,10.33,0.57,0,3.44,0,0,0,0,0,2.3,0.57,0,0,158.37,0,0,0.57,0,0,19.51,0,0,0,0
 60-70,0,2.94,0,53.98,0.98,0,9.82,0,0,0.98,0,0,1.96,0.98,0.98,0.98,382.79,0,0.98,0.98,0,0,39.26,0,0,0.98,0
 72-82,0,1.96,0,71.66,0.98,0,16.69,0,0.98,0,0,0.98,0.98,0,0,0,352.42,0,0.98,1.96,0,0,13.74,0,0,3.93,0
 84-94,0,10.62,0,41.42,0,1.06,15.93,0,0,0,1.06,0,2.12,0,0,0,150.81,1.06,0,1.06,0,0,10.62,1.06,1.06,2.12,3.19
 96-106,0,14.21,0,26.23,2.19,0,9.84,0,0,0,0,0,3.28,1.09,0,0,143.16,0,0,4.37,0,0,5.46,0,0,3.28,0
108-118,0,9.19,0,21.45,2.3,0,7.66,0,0,0,0,0,3.06,0,2.3,0,144,0,0,0.77,0,0,3.06,0,0.77,3.06,0.77
120,0,5.88,0,25.48,0,0,7.84,0,1.96,0,0,0,3.92,0,0,0,115.63,0,0,0,0,0,0,0,0,1.96,0
