stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,1,1,0,1,0,0,0,4,9,0,0,0,0,0
 24-34,0,0,1.64,0.82,4.1,0,0,0,0,0,0.82,0,0,0,0,4.1,0,0,0,53.36,0,1.64,0,0,0,1.64,0,0,26.27,0,0,0,0,0
 36-46,0,0,0,0,7.25,0,0,0,2.42,0,0,0,0,0,0.81,5.64,0.81,0,1.61,86.21,0,2.42,0.81,0,0,0.81,0,0,48.34,0,0,1.61,0,0.81
 48-58,0,0,0.57,0,19.51,0.57,0,0.57,10.9,0,0,0,0,0,0,3.44,0,0.57,0.57,134.84,0,0.57,0.57,0,0,0.57,0,0,37.87,0,0,0,0,0
 60-70,0,0,0,0,67.73,0,0.98,0,10.8,0,0,0,0,0,0,6.87,0,0.98,1.96,174.71,0,0.98,0,0,0,0.98,0,0,33.37,0,0,0.98,0.98,0
 72-82,0,0.98,2.94,0.98,181.61,0.98,0,1.96,18.65,0,0.98,0.98,0,0,0,29.45,0,1.96,0.98,259.16,0,2.94,0,0,0,4.91,0,0,26.5,0,0,0.98,1.96,0
 84-94,0,0,1.06,5.31,131.69,0,1.06,1.06,11.68,1.06,0,1.06,1.06,1.06,0,13.81,0,2.12,3.19,163.55,0,2.12,2.12,0,0,5.31,0,0,25.49,1.06,0,0,1.06,1.06
 96-106,0,0,5.46,0,116.93,1.09,0,0,15.3,0,0,2.19,0,0,1.09,10.93,0,2.19,2.19,156.28,0,2.19,3.28,0,1.09,9.84,0,0,6.56,0,1.09,1.09,3.28,0
108-118,0,0,5.36,0,108,0.77,0.77,0.77,18.38,0.77,0,0,0,0.77,0,12.26,0,0.77,1.53,183.83,0,1.53,0,0,0,3.83,0.77,0,6.13,0,0,1.53,0,0
120,0,0,3.92,0,82.31,1.96,0,3.92,29.4,0,0,1.96,0,1.96,0,5.88,0,0,1.96,203.82,1.96,3.92,3.92,0,0,0,0,0,15.68,0,0,1.96,1.96,1.96
