stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,3,0,10,0,0,0,19,0,0,0,0,0,2,0,0,0,20,0,0,6,112,6,0,0,0,0,0,0,0,0,1,78,0,0,0,0,0
 24-34,0,0,0,0.82,0.82,0,39.4,0,0,1.64,92.76,0,0.82,0.82,0,0,7.39,0,0,0,77.16,0,0,34.48,208.5,1.64,0,0,0,0,1.64,0.82,0,0.82,0,737.95,0,0,0,0,0.82
 36-46,0,0,0,2.42,0,0,53.17,0.81,0,4.03,114.41,0,0,1.61,0.81,0.81,3.22,0.81,0,0.81,165.16,0,0,49.95,259.43,0,0,0,0,0.81,0.81,0,0,0,0,1029.65,0,0,0,0,1.61
 48-58,0,0,0,0,0,0,109.6,0,0.57,11.48,152.06,0,0,1.15,0,0,10.9,0,0,0,209.44,0,1.72,33.28,250.18,0,1.15,0.57,0,1.15,2.3,0,0,0.57,0,654.14,0,0,0.57,0,0
 60-70,0,0,0.98,3.93,0,0,102.08,0,1.96,8.83,233.6,0,0,0.98,0,0,34.35,0,0.98,0,239.49,0,0,31.41,223.79,0.98,0,0.98,0,0,2.94,0,0,0,0,216.92,0,0.98,0,0.98,0
 72-82,0,0,0,3.93,2.94,0,160.01,0,0.98,32.39,568.38,0.98,0,0.98,1.96,0,29.45,1.96,0,0,430.95,0,2.94,49.08,241.49,0.98,2.94,1.96,0,0.98,4.91,0,0,0,0,77.55,0.98,3.93,3.93,2.94,0.98
 84-94,0,1.06,0,13.81,1.06,0,192.23,0,0,14.87,494.91,0,0,3.19,1.06,0,46.73,0,1.06,1.06,267.63,0,5.31,23.36,181.61,0,0,0,0,0,5.31,0,0,0,0,73.28,1.06,3.19,3.19,4.25,2.12
 96-106,0,1.09,0,18.58,5.46,1.09,183.6,4.37,6.56,24.04,640.41,2.19,0,1.09,7.65,0,68.85,1.09,0,1.09,281.95,1.09,4.37,26.23,207.64,2.19,1.09,7.65,0,0,8.74,0,3.28,0,0,66.66,1.09,4.37,0,2.19,1.09
108-118,0,0,0,13.79,2.3,1.53,137.11,0.77,1.53,16.09,549.2,2.3,0,0,3.83,0.77,58.98,0,0.77,0,291.07,0.77,5.36,19.15,196.85,0.77,3.06,3.06,0,3.83,6.89,0,1.53,0.77,0,35.23,0,3.83,1.53,0.77,0
120,0,0,0,13.72,3.92,0,133.27,0,0,17.64,566.38,1.96,0,0,1.96,1.96,52.91,1.96,5.88,0,221.46,0,11.76,23.52,160.7,0,0,0,0,1.96,1.96,0,0,0,0,31.36,0,3.92,0,3.92,0
