stage,blastomeres,epidermis,eye,fin_epithelia,glial,immune,liver,mesenchyme,mural_cell,neural,notochord,otic,pericytes,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,2.46,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,1.15,0,1.15,0,0.57,0,0,0,0
 60-70,0,0,3.93,0,0,4.91,0,2.94,0,0,0,0,0,0
 72-82,0,0,4.91,0,0,4.91,0.98,4.91,0,1.96,0,0,0,0.98
 84-94,0,0,2.12,0,0,11.68,0,0,1.06,0,0,1.06,0,1.06
 96-106,0,0,1.09,0,2.19,20.76,0,3.28,1.09,0,0,2.19,0,1.09
108-118,0,0.77,0.77,0,0.77,11.49,0,0,0,0.77,0,0,0.77,2.3
120,0,0,5.88,1.96,0,25.48,0,1.96,0,0,1.96,0,0,1.96
