stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,immune,iridophores,melanocytes,mesenchyme,muscle,neural,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,6.29,0,6.29,0,0,0,0
 14-21,0,2,3,0,0,1,0,0,0,2,1,6,0,1,1,1,1,0
 24-34,0,0.82,0.82,0,0,0,0,0,0,0.82,0,9.03,0,0,0,1.64,0.82,0
 36-46,0,0,0,2.42,0,1.61,0,0,0.81,3.22,0,4.83,0,0.81,0,0,0,0
 48-58,0,0,0,1.15,0,0.57,0.57,0,0,1.72,0,1.72,0,0.57,0,1.15,0,0
 60-70,0,0,0,0.98,0.98,0,0.98,0,0,1.96,0.98,1.96,0.98,0,0,0,0,0
 72-82,0,0,0,0,0,1.96,7.85,0,0,0.98,0,0.98,0,0,0,0,0,3.93
 84-94,0,0,0,2.12,1.06,1.06,1.06,0,0,1.06,1.06,0,0,0,0,0,0,1.06
 96-106,0,2.19,0,1.09,0,1.09,24.04,0,0,0,0,2.19,0,0,0,0,0,1.09
108-118,0,0,0,0.77,0.77,1.53,27.57,0.77,0.77,2.3,0.77,3.06,0,0.77,0,0,0.77,0
120,0,0,0,0,0,0,58.79,0,0,0,0,5.88,0,0,0,0,1.96,1.96
