stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,1,0,1,9,0,0,1,0,0,1,0,3,13,1,0
 24-34,0,0,0.82,0,2.46,0,1.64,0,0,0,2.46,0,0,0,0,0,0.82,0,0,23.8,0,2.46,0,0,2.46,0,1.64,0,12.31,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,1.61,0,0,0,0,0,1.61,0,0,14.5,0,3.22,0,0,0,0,0.81,0,12.09,0,0
 48-58,0,0,0,0,0.57,0,1.72,0,0,0.57,3.44,0,0,0,0,0,1.72,0,0.57,15.49,0,1.72,0.57,0,0,0,1.15,0,7.46,0,0
 60-70,0,0,0,0,0,0,3.93,0,0.98,0,2.94,0,0,0,0,0.98,0.98,0,0.98,12.76,0,0.98,1.96,0,0,0,0.98,0,5.89,0.98,0.98
 72-82,0,0,0,0,0.98,0,6.87,0,0,0,11.78,0,0,0,0,1.96,6.87,0.98,1.96,12.76,0,8.83,0,0,0.98,0,0.98,0,2.94,0.98,0
 84-94,0,0,0,0,0,0,5.31,0,0,0,1.06,0,0,0,0,0,2.12,0,0,6.37,0,2.12,2.12,0,0,0,0,0,2.12,0,0
 96-106,0,0,0,0,0,1.09,2.19,0,0,0,1.09,0,0,0,0,2.19,0,2.19,0,2.19,0,2.19,3.28,0,0,0,0,0,2.19,0,0
108-118,0,0,0,0,0,0.77,1.53,0,0,0,2.3,0,0.77,0,0,2.3,4.6,0,0.77,0,0,3.83,3.83,0,0,0,1.53,0,1.53,0,0.77
120,0,0,0,0,1.96,0,3.92,1.96,0,0,7.84,0,0,1.96,1.96,1.96,0,0,0,7.84,1.96,1.96,1.96,0,0,0,0,0,0,0,0
