stage,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,12,0,0,1,0,0,0,0,0,4,0,2,0,1,0,0,14,0,0,36,5,27,1,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,2.46,0,0.82,1.64,0,0,0,0,0,0,0,0,7.39,0,0,0
 36-46,0,0,0,2.42,0.81,0,0,0.81,0,0,0,0,0,0.81,1.61,0,0.81,0,0,0,0,0,0,1.61,0.81,0,0
 48-58,0,0,0,4.59,2.87,0.57,2.3,0.57,0,0.57,0,1.72,0,5.16,4.59,0.57,0,0,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,3.93,6.87,0,0.98,0.98,0,0.98,0,6.87,0.98,0.98,3.93,0,0,0,0,0,0,0,0.98,0,0.98,7.85,2.94
 72-82,0,0,0,1.96,19.63,0,3.93,2.94,0.98,0,0,16.69,1.96,4.91,9.82,0,0,0.98,0.98,0,0.98,0,1.96,0,0,7.85,11.78
 84-94,0,1.06,1.06,6.37,33.99,0,8.5,3.19,0,0,1.06,10.62,4.25,6.37,8.5,0,0,6.37,0,0,0,0,2.12,0,1.06,12.74,13.81
 96-106,0,0,2.19,7.65,40.44,1.09,2.19,0,0,1.09,1.09,13.11,2.19,8.74,7.65,0,0,8.74,0,1.09,0,0,1.09,0,0,12.02,26.23
108-118,0,0,0.77,0.77,39.06,0,3.83,0.77,0.77,0.77,1.53,6.89,2.3,12.26,6.13,0,0,9.96,0,0.77,1.53,0,0,0,0,6.13,6.89
120,0,0,1.96,1.96,33.32,0,3.92,0,0,0,0,7.84,0,7.84,5.88,0,0,7.84,0,0,0,0,1.96,0,0,5.88,9.8
