stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,5.26,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,28.92,0,0,0,13.14,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,1,4,0,4,0,0,0,0,0,0,0,2,0,1,26,1,0,0,0,0,2,2,4,0,0
 24-34,0,0,0,0,0.82,22.16,0,0,0,0.82,0.82,0.82,0,15.6,0,2.46,114.1,0,0.82,0.82,0,2.46,0,0,27.91,0,0
 36-46,0,0,0,0.81,0.81,50.76,1.61,0,0,0,0,0,0,5.64,0,2.42,74.12,0,0,0,0,1.61,0,0,16.92,1.61,0
 48-58,0,0,0,0.57,0.57,35.58,0.57,0,0,0,0,0,0,5.74,1.15,1.15,29.84,0,0,0,0,0.57,0,0,1.72,0,0.57
 60-70,0,0,0,0.98,0,26.5,0.98,0,0,0,0,0,0.98,7.85,0,0.98,14.72,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,1.96,0,7.85,2.94,0,0,0,0,0,0,3.93,0,1.96,7.85,0,0,0.98,0,0.98,0,0,0,0.98,0
 84-94,0,0,0,0,0,6.37,2.12,0,0,1.06,0,0,0,4.25,0,1.06,7.43,0,0,1.06,0,0,0,0,0,2.12,0
 96-106,0,0,0,2.19,0,5.46,0,1.09,0,0,0,0,0,4.37,0,0,7.65,0,0,0,0,2.19,0,0,0,0,0
108-118,0,0,0,0,0.77,5.36,0,0,0,0,0.77,0.77,0,4.6,0,0.77,6.13,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.96,1.96,1.96,3.92,0,0,1.96,0,0,0,3.92,0,1.96,17.64,0,0,0,0,0,0,0,0,0,0
