stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,1,0,0,80,0,0,0,0,0
 24-34,0,0,2.46,0,0,0,6.57,0,0,0,0,0,0,0,0.82,0,0,0,0.82,0,0,1.64,445.72,0,4.93,0,0,0,0,0,0,0,0,168.28,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,46.73,0,0,4.83,0,0,0,0,0,0,0,0,0,0,0,0,1158.55,0,6.45,0,0,0,0.81,0,0,0,0,217.53,0,0,0,0,0
 48-58,0,0,0,2.3,0,0,136.57,0,0,22.38,0,0,0,0,0,0,0,0.57,6.89,0,0,1.72,1397.21,0.57,4.59,0.57,0,0,0,0,0,0,0,211.73,0,0,1.15,0,0
 60-70,0,0,0,0.98,0,0,247.34,0,0,14.72,0,0,0,0,0,0,0,0,8.83,0,0,0,1627.36,0,9.82,0.98,0,0,0.98,0,0,0.98,0.98,217.9,0,0,0.98,0,0.98
 72-82,0,0,1.96,1.96,0.98,0,351.43,0.98,0.98,24.54,0.98,0.98,0,1.96,0,0.98,0,0,17.67,0.98,0.98,2.94,1334.08,0,6.87,0,0,0.98,2.94,0,0,0,0,89.33,0,0.98,0.98,0.98,0.98
 84-94,0,0,1.06,11.68,1.06,0,179.48,0,0,28.68,0,0,1.06,0,0,1.06,1.06,0,11.68,0,0,0,660.59,0,5.31,0,0,0,2.12,0,0,0,0,54.16,1.06,0,0,1.06,0
 96-106,0,0,0,4.37,2.19,0,149.72,0,2.19,16.39,3.28,0,0,1.09,0,0,0,0,7.65,0,0,0,530.03,0,7.65,0,0,1.09,1.09,0,0,0,0,31.69,0,0,1.09,1.09,1.09
108-118,0,0,0.77,7.66,0.77,0.77,103.41,0.77,0,16.09,1.53,0,0,0.77,0,0,0.77,0,3.06,0.77,1.53,0.77,648.77,0.77,4.6,0.77,0,0,1.53,0,0,0,0,13.79,0,0,0.77,0,0.77
120,0,0,0,1.96,0,0,88.19,0,1.96,17.64,0,0,0,0,0,0,0,0,13.72,0,0,0,591.86,0,0,0,0,0,0,0,0,0,0,11.76,0,0,1.96,0,1.96
