stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,0,18.88,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,283.23,9.44,0,0,59.79,0,0,0,3.15,0,3.15,6.29,0,0,0,0,0
 14-21,0,0,0,1,212,9,12,0,7,0,6,1,0,0,0,0,0,0,0,0,35,0,0,22,111,5,0,2,6,0,9,32,0,1,49,47,0,0,1,0,0
 24-34,0,0,0,0.82,166.63,2.46,21.34,0,39.4,18.88,5.75,0,0,2.46,0,0.82,0.82,0.82,0,0.82,210.96,1.64,0.82,87.01,282.37,9.03,0,7.39,0,0.82,27.91,0.82,0,0,30.37,59.1,0,0,13.95,0,0.82
 36-46,0,0,0,0,64.45,0,21.75,0,15.31,34.64,25.78,1.61,0,3.22,0,0.81,0,0,0,0.81,332.74,0.81,2.42,54.79,156.3,4.83,1.61,6.45,0,0,20.14,0,0.81,0,0,49.95,0,0,7.25,0,0.81
 48-58,0,0.57,0,0,59.68,0,28.69,0,18.94,52.22,40.17,1.15,0,6.31,0.57,0,0,1.15,0,0.57,541.67,0.57,5.16,44.18,112.47,2.87,1.15,6.89,0,0,5.16,0,0,0,0,22.95,0,1.15,1.72,1.72,0
 60-70,0,0,0,0,107.97,0.98,22.58,0,32.39,74.6,31.41,0.98,0,1.96,0.98,2.94,0.98,1.96,0,0,826.44,0,16.69,28.46,86.37,0.98,0.98,12.76,0,0,9.82,0,0,0,0,15.7,0.98,2.94,3.93,4.91,0.98
 72-82,0,0,0,0,143.32,0.98,56.94,0,27.49,105.04,70.68,0.98,2.94,9.82,0.98,2.94,0,0.98,0,0,1187.81,1.96,13.74,35.34,99.15,0.98,0.98,16.69,0,4.91,9.82,0.98,0.98,0,0,6.87,3.93,21.6,7.85,13.74,0
 84-94,1.06,0,0,0,269.76,0,82.84,0,38.23,80.71,32.92,1.06,1.06,3.19,3.19,5.31,3.19,1.06,1.06,1.06,817.77,2.12,14.87,28.68,56.29,0,3.19,15.93,0,2.12,9.56,0,0,1.06,0,10.62,5.31,16.99,6.37,10.62,0
 96-106,0,0,0,0,239.33,4.37,48.09,2.19,44.81,63.39,51.36,3.28,1.09,10.93,5.46,8.74,1.09,2.19,0,0,772.64,3.28,10.93,19.67,79.78,0,8.74,27.32,0,4.37,16.39,0,0,0,0,12.02,5.46,7.65,8.74,9.84,0
108-118,0,0,0.77,0.77,281.11,0.77,55.92,0,55.15,60.51,43.66,4.6,0,3.06,3.06,8.43,3.06,0,0,0,648,1.53,5.36,19.92,76.6,0,7.66,22.21,0,4.6,7.66,0,0.77,0,0,4.6,9.19,9.96,3.83,7.66,0.77
120,0,0,0,0,288.09,1.96,29.4,0,54.87,29.4,33.32,7.84,0,7.84,0,1.96,1.96,0,3.92,0,460.55,0,5.88,11.76,72.51,0,1.96,21.56,0,3.92,5.88,0,0,0,0,3.92,3.92,1.96,7.84,3.92,0
