stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,lateral_line,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,10.51,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,12.59,0,0,6.29,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0
 24-34,0,0,0,1.64,0,0,0,0.82,0,17.24,0.82,0,0,0,1.64,0,0,6.57,0,0
 36-46,0,0.81,0,4.83,0,0,0,1.61,0.81,18.53,0,0,0,0,0.81,0,0,7.25,0,0
 48-58,0,0,0,10.33,0,1.72,0,0,1.15,65.99,1.72,0,0,0,0,0,0,9.18,0,0
 60-70,0,0,0,26.5,0.98,8.83,0,0.98,0,108.95,0,0,0,0,0,0,0,6.87,0,0
 72-82,0,0,1.96,36.32,0,7.85,0,5.89,0,174.74,0.98,0.98,0,0,0.98,0,0,8.83,0.98,0
 84-94,0,1.06,0,19.12,0,6.37,0,3.19,0,65.85,1.06,0,0,0,0,0,0,7.43,0,0
 96-106,0,0,0,20.76,0,8.74,1.09,4.37,0,71.04,1.09,1.09,0,0,0,0,0,4.37,0,0
108-118,0,0,0,16.09,0,8.43,0,3.06,0.77,89.62,0,0,0,0.77,0,0,0,3.06,0,0.77
120,0,0,0,15.68,0,7.84,0,1.96,0,123.47,0,3.92,0,0,0,0,0,3.92,0,0
