stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,1,0,0,7,0,0,0,0,0,0,1,7,0,0,0,0,1,7,1,21,0
 24-34,0,0,0,0,0,3.28,0,0,0,0,0.82,0.82,0,3.28,0.82,6.57,0.82,0,0,1.64,0,11.49,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,0.81,0.81,4.83,0,6.45,0,0,0,2.42,0,4.83,0
 48-58,0,0,0,0,1.15,4.59,0,0,0,0,0,0,0,8.03,0,1.15,0,0,0,0,0,8.03,0
 60-70,0,0,0,0,3.93,7.85,0,0,0,0,0,0,0,3.93,0,5.89,0,0,0,0,0,5.89,0
 72-82,0,0,0,0,1.96,6.87,0,0,0,0,0,2.94,0,5.89,0,4.91,1.96,0,0,0,0,5.89,0.98
 84-94,0,0,0,0,2.12,4.25,1.06,0,0,0,0,1.06,0,2.12,0,2.12,2.12,0,0,0,0,4.25,0
 96-106,0,0,1.09,2.19,2.19,8.74,0,0,0,3.28,0,1.09,0,6.56,0,5.46,3.28,0,0,0,0,0,0
108-118,0,0.77,0,0,0.77,2.3,0,0,0.77,0.77,0,0,0,2.3,0,3.06,0.77,0,0,0,0,0.77,0
120,0,0,1.96,0,1.96,0,0,1.96,0,1.96,0,0,0,9.8,0,0,1.96,0,0,1.96,0,1.96,0
