stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,7.89,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0
 14-21,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,8,1,0,1,2,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0.82,0,0.82,0,0.82,0,34.48,4.1,0,9.85,6.57,0
 36-46,0,0,0,0.81,0.81,0,0,0.81,0,0,0,0,1.61,0,0,1.61,71.7,0.81,0,12.89,12.89,0
 48-58,0,0,0,0,4.59,0.57,0,3.44,0,0,0,0,0.57,0,0,0,71.15,0,0,6.31,8.61,0
 60-70,0,0,0,0,20.61,0,0.98,3.93,0,0,0,0,0,0,0,0,136.43,1.96,0,11.78,14.72,0
 72-82,0,0,0,0,39.27,0,0,10.8,0,0,0,0,1.96,0,0,0,113.87,0,0,7.85,9.82,0
 84-94,0,0,5.31,0,21.24,0,1.06,13.81,0,1.06,1.06,0,3.19,1.06,0,0,63.72,3.19,0,36.11,8.5,1.06
 96-106,0,0,2.19,0,24.04,0,1.09,16.39,1.09,1.09,0,1.09,2.19,0,0,0,76.5,2.19,0,22.95,4.37,1.09
108-118,0,0,1.53,0,24.51,0,0.77,6.13,0,1.53,0.77,0,0.77,0,0,0.77,59.75,1.53,0,23.74,1.53,1.53
120,0,0,7.84,0,13.72,0,0,9.8,0,0,0,0,1.96,0,0,0,54.87,1.96,0,21.56,0,1.96
