stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,0,13,0,7,0,0,2,1,0,1,0,0,0
 24-34,0.82,0,6.57,1.64,0,0.82,0,0,0,0.82,34.48,0,6.57,2.46,0,2.46,27.09,0.82,0,4.93,4.93,1.64
 36-46,0,0.81,0,0.81,0,0,0,0,0,0,36.26,0,3.22,0.81,0,0,5.64,0,0,0.81,1.61,0.81
 48-58,0,0.57,0,0.57,0.57,0,1.15,0,0,0,32.71,0,1.15,0.57,0,0,5.74,0,0,0.57,1.15,0
 60-70,0,2.94,0,1.96,0,0,0.98,0.98,0,0,15.7,0,0,0,0,0,1.96,0,0,1.96,0.98,0
 72-82,0,1.96,0,0.98,0,0,0,0,0,0,14.72,0,0.98,0,0,0,1.96,0,0,2.94,0,0.98
 84-94,0,3.19,1.06,0,0,0,0,1.06,0,0,13.81,1.06,1.06,1.06,0,0,0,0,0,10.62,0,0
 96-106,0,4.37,0,0,0,0,0,0,0,0,13.11,0,0,1.09,0,0,1.09,0,0,12.02,0,0
108-118,0,16.85,0,0.77,0,0,0.77,0.77,0,0.77,10.72,3.83,0,4.6,0.77,0,1.53,0,0,29.87,0,0.77
120,0,37.24,0,1.96,0,0,0,1.96,0,0,13.72,5.88,0,1.96,1.96,0,0,0,0,33.32,0,1.96
