stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,24,1,0,0,0,0,0,2,0,0,2,0,0,0,0,3,0,38,0,0,28,40,24,0,6,0,0,0,3,0,0,86,8,0,2,0,0
 24-34,0,0,0,1.64,20.52,0,0,7.39,0,0.82,0,4.1,0,0,9.85,0,0,0.82,0,0,2.46,131.34,0,0.82,90.29,112.46,75.52,0,13.13,0,0,2.46,0,0,0,5.75,32.01,0,16.42,0,0
 36-46,0,0,0.81,0,7.25,0,0,4.83,0.81,0.81,1.61,4.03,0,0,8.06,0,0,0.81,0,0,1.61,201.42,0,1.61,94.26,70.09,70.09,0,9.67,0,0,7.25,0,0,0,0,26.59,0.81,27.39,0,0.81
 48-58,0,0,0,0,11.48,0,0,16.07,1.15,1.72,4.02,9.75,0,0,3.44,0.57,0.57,1.72,0,1.15,0,267.39,0,5.16,93.53,58.53,60.25,0,9.18,0.57,0.57,8.61,0,0,0,0,10.9,0,27.54,0,1.15
 60-70,0,0,0,0,24.54,0,0,38.28,0.98,6.87,3.93,26.5,0,1.96,10.8,0,0.98,0.98,0,0,1.96,403.41,1.96,7.85,78.52,67.73,48.09,0,12.76,0,0.98,11.78,0,0.98,0,0,11.78,9.82,20.61,5.89,1.96
 72-82,0,0,0,0,27.49,7.85,0,109.95,4.91,3.93,10.8,42.21,0,0,15.71,0.98,0,1.96,0,0.98,1.96,717.59,1.96,19.63,105.04,124.67,50.06,0,30.43,0.98,4.91,9.82,0,0.98,0.98,0,8.83,17.67,36.32,27.49,0.98
 84-94,0,0,0,0,49.92,2.12,0,91.34,2.12,18.05,2.12,25.49,0,1.06,8.5,0,1.06,2.12,0,2.12,0,425.88,0,19.12,58.41,91.34,77.53,1.06,35.05,0,1.06,23.36,0,1.06,0,0,11.68,10.62,38.23,20.18,0
 96-106,0,0,0,0,49.18,2.19,0,76.5,1.09,12.02,4.37,42.62,1.09,0,14.21,4.37,1.09,4.37,2.19,5.46,1.09,540.96,0,15.3,66.66,74.31,48.09,1.09,56.83,1.09,8.74,42.62,0,1.09,0,0,22.95,18.58,45.9,39.34,3.28
108-118,0.77,0,0,0.77,56.68,2.3,0,57.45,5.36,14.55,5.36,27.57,0,0.77,10.72,1.53,3.83,7.66,0,3.06,2.3,569.11,0,9.96,81.19,70.47,61.28,0.77,49.02,0,2.3,9.96,0,0.77,0.77,0,12.26,12.26,42.89,19.92,1.53
120,0,0,0,1.96,48.99,1.96,1.96,50.95,3.92,11.76,7.84,33.32,1.96,0,9.8,3.92,3.92,1.96,0,1.96,0,438.99,1.96,23.52,45.08,80.35,86.23,0,35.28,0,11.76,7.84,0,0,1.96,0,5.88,11.76,43.12,27.44,1.96
