stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,39.53,527.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,30.65,392.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,18.39,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,63.09,0,0,0,15.77,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,6.29,0,0,0,0,47.2,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,1,0,0,1,0,0,0,20,0,0,0,1,33,3,0,0,0,6,0,13,0,0,0,0
 24-34,0,0,0,1.64,0,0,0,0,0,0,2.46,0,0,0,15.6,0,0,0,0,6.57,1.64,0,0.82,0,17.24,3.28,9.85,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,4.83,0,0.81,0,0,2.42,0,0.81,0,0,4.03,4.03,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.57,2.87,0,0,0,3.44,0.57,0,0,0,0,0,0,0,0,0.57,4.59,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0.98,10.8,0,0,0,6.87,0,0,0,0,7.85,0,0,0,0,0,7.85,0,0,0,0,0
 72-82,0,0,1.96,0,0,0,0,4.91,0,0.98,25.52,0,0,0,15.71,0,0,0.98,0,8.83,0,0.98,0,0,0.98,17.67,0,0,0,0.98,0
 84-94,0,0,0,0,0,0,4.25,0,0,0,28.68,0,1.06,0,31.86,0,0,1.06,0,7.43,0,1.06,0,0,2.12,21.24,0,1.06,0,0,0
 96-106,0,0,0,0,1.09,1.09,2.19,3.28,0,2.19,33.88,0,0,1.09,30.6,1.09,2.19,0,0,8.74,0,1.09,0,0,2.19,9.84,1.09,0,1.09,0,0
108-118,0,0,0,0,0,0,3.06,0.77,0,0,13.79,0,0.77,0,40.6,0,2.3,0,0,8.43,0,0,0,0,3.06,19.15,0,0,0,0,0.77
120,0,0,0,1.96,0,0,1.96,1.96,1.96,0,21.56,0,0,0,48.99,0,0,0,0,3.92,0,0,0,0,0,15.68,0,0,0,0,0
