stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,12.26,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,28.32,0,0,0,3.15,0,12.59,0,0,0,0,0
 14-21,0,0,1,8,170,2,4,0,1,0,1,0,1,7,0,0,0,0,0,0,18,0,0,31,49,2,0,1,2,0,2,29,1,389,1162,42,0,0,0,0
 24-34,0,0,0,0.82,92.76,1.64,41.86,225.74,2.46,1.64,4.1,0.82,0,5.75,0,2.46,0.82,2.46,2.46,1.64,57.46,3.28,0.82,65.67,399.76,4.93,0.82,1.64,0,0.82,36.12,0.82,2.46,242.97,549.97,94.4,0,10.67,0,0
 36-46,0,0,0,0,12.89,0,36.26,474.54,0.81,0,6.45,0,0,3.22,0,0.81,0,0,0,0.81,42.7,0,0,42.7,266.68,0.81,2.42,0,0,0,17.72,0,0,196.58,32.23,73.32,0,0.81,0,4.03
 48-58,0,0,0,0,9.75,1.72,98.69,451.01,0,3.44,22.95,0.57,0,1.15,2.3,0,0.57,0.57,1.15,4.59,43.61,0,3.44,56.23,274.28,1.15,1.15,0.57,0,0,9.18,0,0,166.98,0,73.45,0.57,5.16,0,4.59
 60-70,0,0,0,0,5.89,1.96,98.15,327.83,3.93,1.96,10.8,0,0,0,0,0,0.98,0,0,0,27.48,0.98,0.98,48.09,149.19,0.98,0,0.98,0.98,0,4.91,0,0,108.95,0,27.48,2.94,1.96,0,7.85
 72-82,0,0,0.98,0,3.93,4.91,43.19,213.02,0.98,0,11.78,0.98,0,0.98,3.93,0,0,0.98,0,0,28.47,0.98,3.93,30.43,84.42,0,1.96,2.94,0,0,2.94,0,0,61.84,0,5.89,0,4.91,0.98,2.94
 84-94,0,0,0,0,3.19,4.25,30.8,265.51,2.12,1.06,3.19,0,0,0,3.19,1.06,1.06,2.12,1.06,1.06,14.87,0,1.06,30.8,35.05,1.06,0,0,0,0,8.5,0,0,117.89,0,3.19,3.19,1.06,1.06,1.06
 96-106,0,0,0,0,7.65,5.46,38.25,358.45,2.19,2.19,16.39,3.28,0,4.37,3.28,1.09,2.19,2.19,4.37,0,27.32,0,2.19,28.41,68.85,1.09,1.09,1.09,1.09,2.19,12.02,0,0,118.03,0,3.28,1.09,2.19,1.09,2.19
108-118,0,0,0.77,0,2.3,0.77,22.21,234.38,0,1.53,3.83,0.77,0,0.77,2.3,0,0.77,0,0.77,0,13.79,0,0.77,35.23,32.17,0.77,0.77,1.53,0,0.77,3.83,0,0.77,108,0,3.06,0.77,0.77,1.53,2.3
120,0,0,0,0,1.96,5.88,11.76,135.23,0,0,5.88,0,0,1.96,0,0,0,0,0,0,19.6,0,0,25.48,39.2,0,1.96,0,0,0,3.92,1.96,1.96,41.16,0,0,1.96,0,0,1.96
