stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,glial,hatching_gland,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,periderm,slow_muscle,spinal_cord
  3-4,13.18,276.74,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0
  5-6,6.13,208.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,15.77,0,0,5.26,0,0,0,123.55,34.17,0,0,0
 10-12,0,3.15,6.29,0,0,0,0,3.15,0,0,0,91.26,31.47,3.15,0,0
 14-21,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
 24-34,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0
 48-58,0,0,0,0,0,0,1.15,0,0.57,0.57,0,4.59,0,0,0,0.57
 60-70,0,0,0,0,0,0,0,0,0,0.98,0,0.98,0,0,0.98,0
 72-82,0,0,0,0,0.98,0.98,0,0,0,0,0,1.96,0,0.98,0,0
 96-106,0,0,0,0,2.19,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0,0,0,0.77,0,0,0,0,0
