stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,hatching_gland,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,pgc,spinal_cord,taste
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,2.63,0,0,2.63,0,0,0,0,0,15.77,0,5.26,2.63,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,2,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,1.64,11.49,4.1,0,0,3.28,0
 36-46,0,0,0,0,0.81,0,3.22,0,0.81,0,0,0,0.81,0,0,14.5,3.22,0,0,0.81,0
 48-58,0,0,0,0,0,0,9.75,0,8.03,0,0,0,0.57,0,0,14.35,0.57,0,0,2.3,0
 60-70,0,0,0,0,0,0,1.96,0,14.72,0,0,0,0.98,0,0,3.93,0.98,0,0,1.96,0
 72-82,0,0,0.98,0,1.96,0,4.91,0,9.82,0,0,0,0,0,0,12.76,0.98,0,0,0,0
 84-94,0,0,0,0,1.06,0,11.68,0,5.31,0,0,0,1.06,0,0,2.12,7.43,0,0,0,0
 96-106,0,0,0,0,0,0,19.67,0,8.74,0,1.09,0,0,0,0,13.11,5.46,0,0,0,1.09
108-118,0,0,0,0,0.77,0,23.74,0.77,5.36,0,0,0,0,0.77,0,4.6,3.83,0,0,0,0.77
120,0,0,0,0,0,0,9.8,0,3.92,0,0,1.96,0,0,0,5.88,1.96,0,0,1.96,0
