stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,7,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,3,5,1,0,0,0,0,0,0,1,2,0,0,0,0
 24-34,0,0,0,1.64,8.21,0,0,0.82,0,0.82,0,0,0.82,0.82,0.82,0,0,0,0,0,0,4.93,0,0,3.28,10.67,0,0,1.64,0,0,0,4.93,0,1.64,0,1.64,0,1.64
 36-46,0,0,0,0.81,1.61,0,0,0.81,0,0,0,0.81,0,0,0,0,0,0,0.81,0.81,0,5.64,0,0,3.22,0.81,0,0.81,0.81,0,0,0,1.61,0,0,0,2.42,0,0
 48-58,0,0,0.57,0,0.57,0,0,2.3,0,0,0,0,0.57,0,0,0,0,0,0.57,1.15,0,5.16,0,0,0,0.57,0,0,1.15,0,0,0,1.15,0,0.57,0,1.15,0,0
 60-70,0,0,0,0,3.93,0,0,4.91,0,0,0.98,0,7.85,0,0,0,0,0,0,1.96,0.98,10.8,0,0,1.96,0,0,0,0.98,0,0,0,1.96,0,1.96,0,0.98,0,0.98
 72-82,0,0,3.93,0,0,0,0,7.85,0,1.96,0.98,0.98,24.54,0,0,0,0,0,0,0,0,22.58,0,0.98,0.98,5.89,0,0,0,0,0,0,4.91,0,0,0,5.89,2.94,0
 84-94,0,0,3.19,0,0,0,0,10.62,0,0,1.06,0,38.23,0,0,2.12,0,0,0,4.25,1.06,6.37,1.06,1.06,1.06,4.25,0,1.06,1.06,0,0,0,6.37,0,0,0,4.25,0,0
 96-106,0,0,5.46,0,3.28,1.09,1.09,12.02,1.09,1.09,0,1.09,67.76,0,0,2.19,0,1.09,0,3.28,0,9.84,0,1.09,1.09,17.49,0,1.09,3.28,0,0,1.09,6.56,0,0,0,1.09,0,0
108-118,0,0,2.3,0,0.77,0,0.77,19.15,0,0.77,0,0.77,93.45,0,0,0,0,0,0,5.36,0,10.72,0,0,0,8.43,0,0,2.3,0,0,0,7.66,0,0,0.77,1.53,0,0
120,0,0,0,0,0,0,0,7.84,0,0,0,0,74.47,0,0,1.96,0,0,0,5.88,0,0,1.96,0,0,5.88,0,0,5.88,0,1.96,0,5.88,0,0,0,1.96,0,0
