stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,368.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.83,0,0,0,13.14,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.09,3.15,0,0,37.76,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,13,5,0,5,0,0,0,1,0,0,0,1,0,0,0,1,5,0,0,2,50,2,1,0,1,0,5,0,3,0,0,8,16,0,0,1,0,1
 24-34,0,0,0,0,4.93,0.82,0,21.34,0,1.64,0,4.93,0,1.64,0.82,0.82,0.82,0,0,0,19.7,0,0,4.1,226.56,3.28,1.64,1.64,0,0.82,13.95,0,0,4.1,0,2.46,63.21,0,0,7.39,0,1.64
 36-46,0,0,0,0,1.61,0,0,66.06,0,1.61,0.81,15.31,0,1.61,1.61,1.61,1.61,0,0,2.42,25.78,0.81,0,5.64,292.46,1.61,1.61,1.61,0,0,12.09,0,0,0,0,0,59.62,0,0,5.64,0,0
 48-58,0,0,0,0,1.72,0,0,129.11,1.72,2.87,2.3,29.26,0.57,0.57,2.3,0.57,0.57,0.57,0,2.3,32.13,0,1.15,5.74,312.15,1.15,0,1.72,0,0,11.48,0,0,0,0,0,58.53,0,0,6.31,0,3.44
 60-70,0,0,0,0,4.91,2.94,0,175.69,0,1.96,0,38.28,0,1.96,2.94,0.98,2.94,0,0.98,0.98,39.26,0.98,0,2.94,391.63,0.98,3.93,2.94,0,0.98,10.8,0,0,0,0,0,50.06,0,3.93,2.94,0,1.96
 72-82,0,0,1.96,0,0.98,2.94,0.98,151.18,0,1.96,3.93,49.08,0.98,0.98,4.91,0,2.94,0.98,0.98,1.96,47.12,0,1.96,2.94,350.45,0.98,2.94,5.89,0,2.94,9.82,0,0,0.98,0.98,0,17.67,1.96,0,16.69,0.98,1.96
 84-94,0,0,1.06,0,23.36,4.25,0,138.06,1.06,1.06,2.12,28.68,4.25,0,9.56,1.06,2.12,1.06,2.12,4.25,41.42,0,3.19,6.37,170.99,0,4.25,10.62,0,0,22.3,0,0,0,0,0,13.81,2.12,1.06,8.5,3.19,1.06
 96-106,0,0,0,0,14.21,6.56,0,78.68,0,1.09,2.19,22.95,8.74,2.19,13.11,1.09,1.09,3.28,0,3.28,34.97,0,1.09,2.19,166.11,0,4.37,10.93,0,4.37,25.14,0,0,0,0,0,5.46,1.09,1.09,9.84,2.19,0
108-118,0,0,0.77,0,7.66,3.06,6.13,71.23,0,1.53,0,27.57,6.13,0.77,4.6,3.06,1.53,1.53,3.06,3.83,24.51,0.77,0.77,6.89,151.66,0,0,5.36,0,1.53,16.09,0,0,0.77,0,0,6.89,1.53,2.3,12.26,3.06,0.77
120,0,0,0,0,23.52,3.92,0,72.51,1.96,0,3.92,23.52,15.68,0,11.76,0,3.92,1.96,0,1.96,25.48,0,0,3.92,141.1,1.96,0,17.64,0,0,19.6,0,0,1.96,0,0,3.92,0,0,7.84,0,0
