stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0
 14-21,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0
 24-34,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,4.03,0.81,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0.81,0,0,0,0,0
 48-58,0,1.15,0,0.57,0,0.57,0,0,0,0.57,0,0,0,0,0,4.02,0,0,2.3,0,0,0,0,0.57
 60-70,0,2.94,0,0,0.98,3.93,0,0,0,0.98,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0.98
 72-82,0,0.98,0,0.98,0,8.83,0,0,0,0,0,0,0,0,0,2.94,0,0,0.98,0,0,0,0.98,0.98
 84-94,0,5.31,0,0,1.06,1.06,0,0,0,0,0,0,0,0,0,1.06,0,0,3.19,1.06,1.06,0,0,0
 96-106,0,5.46,0,1.09,1.09,4.37,0,0,1.09,0,1.09,0,0,0,0,1.09,0,0,1.09,5.46,0,0,0,0
108-118,0.77,3.06,0,1.53,1.53,7.66,1.53,0,0,0,2.3,0,0.77,0,0,0.77,0,0.77,3.83,0.77,0,0.77,0,0
120,0,5.88,0,1.96,0,7.84,0,0,0,0,0,1.96,0,1.96,0,1.96,0,0,1.96,3.92,0,0,0,0
