stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,gut,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,3.15,0,3.15,0,0,0,0
 14-21,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,2.46,0,1.64,0,0,3.28,1.64,1.64,0,0,0.82,3.28,0,9.03,0,2.46,0,0,0,3.28,0.82,0,0,0,0,0
 36-46,0,0,0.81,0,0.81,0.81,0,0,1.61,0,0,0.81,2.42,4.03,0.81,13.7,0,2.42,0,0,0.81,2.42,0,0,0.81,0,0,0.81
 48-58,0,0,0,0,0.57,0,0,1.15,0.57,0,0.57,1.15,1.15,4.59,0,5.74,0.57,0.57,0,0,0,1.72,0,0,0.57,0,0.57,0
 60-70,0,0,0,0,0.98,0.98,0,1.96,1.96,0,0,0,0.98,3.93,0.98,2.94,0,2.94,0,0.98,0.98,0,0,0,0.98,0,0,0.98
 72-82,0,0,3.93,0,0,0,0.98,0.98,1.96,0.98,0,0,0.98,8.83,0,4.91,0.98,0,0,0,0,2.94,0,0,0,0.98,0.98,0
 84-94,0,0,2.12,0,1.06,2.12,1.06,6.37,4.25,0,1.06,1.06,0,3.19,0,3.19,0,2.12,0,0,0,2.12,0,0,0,2.12,0,1.06
 96-106,0,0,3.28,0,0,3.28,0,3.28,7.65,0,0,0,1.09,4.37,0,1.09,0,1.09,0,0,0,3.28,0,0,0,3.28,1.09,0
108-118,0,0,1.53,0,0.77,3.83,0,5.36,9.19,0,0.77,0,1.53,0.77,0,0.77,0,0.77,0,0,0.77,1.53,0,0,0,0,0,0.77
120,0,0,0,0,1.96,0,0,9.8,13.72,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0
