stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,0,18.4,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,89.38,2.63,0,0,47.32,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,12.59,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,62.94,0,0,0,50.35,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,0,0,1,2,0,1,3,0,0,2,7,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,2.46,0,0.82,0,0.82,0,0,0,0,0,0,0,0,3.28,0,0,2.46,36.12,0,0,0,0,0,3.28,0,0,0,0.82,13.13,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,11.28,0,0,0,0.81,1.61,0,0,0,0,0,0.81,0,3.22,0,0,0.81,21.75,0,0,0,0,0,7.25,0,0,0,0,3.22,0,0,0,0,0
 48-58,0.57,0,0,0,1.15,0,0,15.49,0,0,0,2.87,8.61,0,0,0,0,0,0,0,1.72,0,1.15,0.57,16.07,0,0,0,0,0,4.02,0,0,0,0,2.87,0,0,0,0,0
 60-70,0,0,4.91,0,3.93,1.96,0,10.8,0,0,0,0,49.08,0,0,0,0,0,1.96,0,3.93,0,0,2.94,13.74,0,0,0,0,0,6.87,0,0,0,0,3.93,0,0,0,0,0.98
 72-82,0,0,20.61,0,6.87,0,0,17.67,0.98,0,0.98,6.87,224.8,0,0,0,2.94,0,3.93,0,20.61,0,0,4.91,83.44,0,0,0.98,0,0,2.94,0,0.98,0,0,2.94,1.96,0.98,0,0,0.98
 84-94,0,0,18.05,2.12,2.12,0,0,18.05,1.06,1.06,1.06,7.43,424.81,0,0,1.06,0,2.12,1.06,0,9.56,0,0,1.06,38.23,0,2.12,0,0,0,14.87,0,0,1.06,0,1.06,0,0,1.06,0,0
 96-106,0,0,28.41,4.37,14.21,9.84,1.09,51.36,1.09,1.09,1.09,20.76,610.9,0,4.37,0,2.19,1.09,8.74,1.09,30.6,1.09,4.37,5.46,160.65,1.09,2.19,2.19,0,1.09,39.34,0,1.09,2.19,0,2.19,7.65,1.09,4.37,3.28,3.28
108-118,0,0,15.32,6.13,12.26,4.6,4.6,19.92,1.53,0,3.83,12.26,670.22,0,1.53,0.77,1.53,0,6.13,0,23.74,1.53,2.3,5.36,167.75,0,0.77,0.77,0,0,16.09,0,0,1.53,0,2.3,3.83,0,3.83,0,0.77
120,0,0,11.76,1.96,3.92,5.88,1.96,13.72,0,0,1.96,3.92,458.59,0,0,0,0,0,5.88,0,13.72,0,1.96,3.92,115.63,1.96,0,3.92,0,0,1.96,0,1.96,0,0,0,1.96,0,1.96,1.96,0
