stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,1555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0
  5-6,183.89,1599.83,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,36.78,12.26,0,0,18.39,30.65,0,0,0,0,0,0,0,0
  7-9,18.4,28.92,76.23,0,0,123.55,0,0,0,42.06,0,0,0,0,0,0,0,0,0,0,1180.29,34.17,0,0,580.95,2.63,7.89,0,0,0,0,0,0,0
 10-12,0,37.76,40.91,0,3.15,103.85,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,742.68,0,0,0,352.46,3.15,9.44,0,25.18,0,6.29,0,0,0
 14-21,0,0,3,16,3,5,0,2,1,2,1,0,2,0,0,0,8,1,0,4,146,2,1,2,5,8,0,13,1,9,34,0,0,0
 24-34,0,0,0.82,7.39,2.46,96.04,0.82,11.49,0,0,0.82,0,2.46,0.82,0,0,46.79,0,0,12.31,563.93,0.82,4.1,2.46,0,9.85,0,0,0,1.64,116.56,0,4.1,0
 36-46,0,0,0,4.03,0.81,323.88,0,11.28,0,0,0.81,0,0,0.81,0,0.81,38.67,0,2.42,13.7,562.36,0,0.81,2.42,0,7.25,0,0,0,0,111.99,0,5.64,0.81
 48-58,0,0,0,2.87,0.57,309.85,0,8.61,0.57,0,1.15,0,0.57,0.57,0.57,0,25.82,0,1.15,6.31,179.6,0.57,0.57,0,0,1.72,0,0,0,0,20.66,0,0.57,0
 60-70,0,0,0,5.89,0,287.59,0,19.63,0.98,0,0,0.98,0,0,0,0,43.19,0,0,0.98,135.45,0,0.98,0,0,0.98,0,0,0,0,4.91,0,1.96,0.98
 72-82,0,0,0,5.89,0.98,75.59,0,16.69,0.98,0,0.98,0,0,0,0,0,18.65,0,0.98,1.96,53.99,0,0.98,0,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,6.37,1.06,78.59,0,10.62,0,0,0,1.06,1.06,0,0,0,32.92,1.06,6.37,3.19,44.61,1.06,0,2.12,0,0,0,0,0,0,2.12,0,3.19,0
 96-106,0,0,0,3.28,0,32.79,0,7.65,2.19,0,0,0,1.09,0,1.09,0,7.65,0,0,3.28,30.6,0,0,0,0,4.37,0,0,0,0,0,0,0,0
108-118,0,0,0,1.53,2.3,29.11,0,8.43,0,0,0,0.77,0,0,0,0,7.66,0,0.77,2.3,30.64,0,0,0,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,1.96,1.96,35.28,0,9.8,0,0,0,0,0,0,0,0,9.8,0,0,0,54.87,1.96,0,0,0,0,0,0,0,0,0,0,1.96,0
