stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
 14-21,0,3,8,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,12,0,0,1,1,5,1,2,5,0,0
 24-34,0,0.82,0,0,0,0.82,0,0,0,0,0,1.64,0,0,0,0.82,0,0,0.82,9.03,0,0,1.64,0,0,0,0,2.46,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,4.83,0.81,0,1.61,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,0,1.15,0,0,0.57,0,0.57,2.87,0,1.15,0,1.72,0,0,0,8.03,0,0,1.72,0,0,0,0,2.3,1.15,0.57
 60-70,0,0,0,0,0,0,0,0,0.98,0,0,5.89,0,2.94,0,0.98,0,0.98,0,6.87,0,0.98,0,0,0,0.98,0,0.98,0,0
 72-82,0.98,1.96,0.98,0,0,1.96,0.98,0,2.94,11.78,0,6.87,0.98,11.78,0,2.94,0,0,0,9.82,0,0,1.96,0,0,0,0,0,0.98,1.96
 84-94,1.06,6.37,1.06,0,1.06,5.31,0,0,0,24.43,0,13.81,0,24.43,0,0,0,0,0,8.5,0,0,1.06,0,0,2.12,0,0,0,0
 96-106,2.19,6.56,0,0,0,5.46,1.09,0,2.19,19.67,0,12.02,0,20.76,0,0,0,0,0,14.21,1.09,0,6.56,0,0,0,0,0,0,0
108-118,0.77,7.66,0.77,0,2.3,3.06,0.77,0.77,1.53,13.79,0,8.43,0,34.47,0.77,0,0,0,0,8.43,0,0.77,1.53,0,0,0,0,1.53,0,0
120,0,1.96,1.96,1.96,0,3.92,1.96,0,0,9.8,0,15.68,0,27.44,0,0,1.96,0,0,3.92,0,0,3.92,0,0,0,0,1.96,0,0
